Sl. No.,PART NO.,Description,Lead Time,Category,Std. Price
1,F9920BE,Brain - Amp. With Cert,57,A,1855.12
2,F9920BG,Brain - Amp. w/o Cert,50,A,1855.12
3,F9921AH,Field bus - Amp. With Cert,64,A,5936.93
5,F9921AE,Profi bus - Amp. w/o Cert,57,A,5936.93
6,F9920BX,Low Power - Amplifier,64,A,2968.47
7,F9920BN,Hart - Amp. With Cert,50,A,1855.12
8,F9920BQ,Hart - Amp. w/o Cert,50,A,1855.12
10,F9920TS,Brain/Hart - LPT Assy. with Cert,57,B,419.83
11,F9920TP,Brain/Hart - LPT Assy. w/o Cert,50,B,548.75
13,F9920VS,Brain/Hart - LPT Assy. with Cert & /A,57,B,470.85
14,F9920VP,Brain/Hart - LPT Assy. w/o Cert & /A,50,B,631.46
15,F9921TG,Field/Profi Bus - LPT Assy. with Cert.,57,B,626.64
16,F9921TF,Field/Profi Bus - LPT Assy. w/o cert.,57,A,1053.38
17,F9921VG,Field/Profi Bus - LPT Assy. with Cert. & /A,57,A,781.76
18,F9921VF,Field/Profi Bus - LPT Assy. w/o Cert & /A,57,A,1170.56
19,F9920TX,Low Power - LPT Assy,57,A,1133.34
20,F9920VY,Low Power - LPT Assy & /A,57,A,0
21,F9920LV,LCD Assy. with SW,57,A,1113.35
22,F9920LU,LCD Assy. w/o SW,64,A,1113.35
24,F9913JA,Case 1 - Meter Cover Assy. ,57,B,588.05
25,F9913JR,Case 1 - Meter Cover Assy. with /X2,45,A,788.75
26,F9913JS,Case 1 - Meter Cover Assy. with /X2,57,A,929.98
28,F9913KA,Case 1 - Meter Cover Assy. + /HE,57,B,0
30,F9913KS,Case 1 - Meter Cover Assy. with /X2 + /HE,57,A,0
31,F9913JX,Case 1 - Meter Cover Assy. with /PR,57,A,892.05
32,F9913KX,Case 1 - Meter Cover Assy. with /HE + /PR,57,A,976.84
33,F9913KT,Case 1 - Meter Cover Assy. with /HE + /P1,57,A,976.84
34,F9913KU,Case 1 - Meter Cover Assy. with /HE + /P2,57,A,976.84
35,F9913KV,Case 1 - Meter Cover Assy. with /HE + /P7,57,A,976.84
36,F9913JT,Case 1 - Meter Cover Assy. with /P1,57,A,856.2
37,F9913JU,Case 1 - Meter Cover Assy. with /P2,57,A,892.05
38,F9913JV,Case 1 - Meter Cover Assy. with /P7,57,A,892.05
39,F9913JZ,Case 2 - Meter Cover Assy. ,43,A,1302.24
40,F9913KZ,Case 2 - Meter Cover Assy. + /HE,50,A,1395.31
41,F9913KY,Case 2 - Meter Cover Assy. with /HE + /PR,57,A,1535.25
42,F9913JY,Case 2 - Meter Cover Assy. + /PR,57,A,1451.15
44,F9913GA,Case 3 - Meter Cover Assy. ,57,B,671.45
46,F9913HA,Case 3 - Meter Cover Assy. + /HE,50,A,0
