PART NO.,PART NAME,QTY,SC,MODEL CODE,OUTPUT,SPAN,MATERIAL,P-CONNECT,HOUSING,E-CONNECT,INDICATOR,BRACKET,OPTION:AND,OPTION:OR,OPTION:NOT
F9913TG,TERMINAL COVER,1,1,,,,,,1,,,,,,"PR,X2"
F9913VF,COVER,1,,,,,,,1,,,,PR,,X2
F9913VG,TERMINAL COVER,1,1,,,,,,1,,,,X2,,PR
F9913SA,COVER,1,,,,,,,2,,,,,,PR
F9913SB,COVER,1,,,,,,,2,,,,PR,,X2
F9913CG,TERMINAL COVER,1,1,"EJA510E,EJA530E",,,,,3,,,,,,"PR,X2"
F9913DG,TERMINAL COVER,1,1,"EJA510E,EJA530E",,,,,3,,,,X2,,PR
F9913DF,TERMINAL COVER,1,,"EJA510E,EJA530E",,,,,3,,,,PR,,X2
F9913TA,TERMINAL COVER,1,2,,,,,,1,,,,,,"PR,X2"
F9913VA,COVER,1,2,,,,,,1,,,,X2,,PR
F9913CA,TERMINAL COVER,1,2,"EJA510E,EJA530E",,,,,3,,,,,,"PR,X2"
F9913DA,TERMINAL COVER,1,2,"EJA510E,EJA530E",,,,,3,,,,X2,,PR
F9910LE,O-RING,1,,,,,,,,,,,,,HE
F9900GR,O-RING,1,,,,,,,,,,,HE,,
F9341JP,O-RING,1,,,,,,,,,,,,,HE
F9900GS,O-RING,1,,,,,,,,,,,HE,,
F9341JS,COVER,1,,,,,,,,,,,,,
F9900GZ,SCREW,2,,,,,,,,,,,,,
F9900RS,NAME PLATE,1,,"EJA510E,EJA530E",,,,,,,,,,,
F9900RE,TAG PLATE,1,,,,,,,"1,2,3",,,,,,
F9900RG,TAPPING SCREW,4,,,,,,,"1,3",,,,,,
F9900RR,TAPPING SCREW,4,,,,,,,2,,,,,,
F9900GC,SCREW,2,,,,,,,"1,3",,,,,,HC
F9900RH,SCREW,2,,,,,,,"1,3",,,,HC,,
F9900RH,SCREW,2,,,,,,,2,,,,,,
F9900GH,O-RING,1,,,,,,,,,,,,,HE
F9900GT,O-RING,1,,,,,,,,,,,HE,,
F9300AF,PLATE,1,,,,,,,,,,,,,
F9299ZZ,SILICONE RUBBER,0,,,,,,,,,,,,,
F9202SJ,SILICONGRE G-40M 1KG,0,,,,,,,,,,,,,
C2138DE,TAPES,0,,,,,,,,,,,,,
F9900GE,PLATE,1,,,,"A,B,C",,,,,,,,,
F9940WG,HOOK,1,,,,D,,,,,,,,,
F9900RJ,BOLT,1,,,,,,,,,,,,,
F9920BE,AMP ASSY,1,,,D,,,,,,,,,"CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,JS4,KS21,KU22,NS21,PS21,SU21,US1",
F9920BG,AMP ASSY,1,,,D,,,,,,,,,,"CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,JS4,KS21,KU22,NS21,PS21,SU21,US1"
F9920BN,AMP ASSY,1,,,J,,,,,,,,,"CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,JS4,KS21,KU22,NS21,PS21,SU21,US1",
F9920BQ,AMP ASSY,1,,,J,,,,,,,,,,"CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,JS4,KS21,KU22,NS21,PS21,SU21,US1"
F9921AH,AMP ASSY,1,,,F,,,,,,,,,,
F9921AE,AMP ASSY,1,,,G,,,,,,,,,,
F9920BX,AMP ASSY,1,,,Q,,,,,,,,,,
F9920TK,TERMINAL ASSY,1,,,"-D,-J",,,,,,,,,"JS4,NS21,PS21,US1","A,CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,J12,KS21,KU22,SU21"
F9920TS,TERMINAL ASSY,1,,,"-D,-J",,,,,,,,,"CS1,CU1,FS1,FU1,GS11,GU11,KS21,KU22,SU21","A,GS21,GU21,J12,JS4,NS21,PS21,US1"
F9920TT,TERMINAL ASSY,1,,,"-D,-J",,,,,,,,,"GS21,GU21","A,CS1,CU1,FS1,FU1,GS11,GU11,J12,JS4,KS21,KU22,NS21,PS21,SU21,US1"
F9920TX,TERMINAL ASSY,1,,,Q,,,,,,,,,,A
F9920TL,TERMINAL ASSY,1,,,"-D,-J",,,,,,,,J12,,"A,CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,JS4,NS21,PS21,SU21,US1"
F9920TP,TERMINAL ASSY,1,,,"-D,-J",,,,,,,,,,"A,CS1,CU1,FS1,FU1,GS11,GS21,GU11,GU21,J12,JS4,KS21,KU22,NS21,PS21,SU21,US1"
F9921TF,TERMINAL ASSY,1,,,"-F,-G",,,,,,,,,,"A,CS15,FS15,GS16,KS26,NS25,SS26"
