,PART NO.,PART NAME,Final_Qty,Year
0,F9913TA,TERMINAL COVER,17791.0,2016
1,F9910LE,O-RING,18986.0,2016
2,F9341JP,O-RING,18986.0,2016
3,F9341JS,COVER,19127.0,2016
4,F9900GZ,SCREW,69172.0,2016
5,F9900RS,NAME PLATE,18767.0,2016
6,F9900RE,TAG PLATE,19127.0,2016
7,F9900RG,TAPPING SCREW,87202.0,2016
8,F9900GC,SCREW,36688.0,2016
9,F9900GH,O-RING,18986.0,2016
10,F9300AF,PLATE,30199.0,2016
11,F9900GD,PLATE,1488.0,2016
12,F9900RJ,BOLT,19127.0,2016
13,F9920BG,AMP ASSY,76.0,2016
14,F9920TP,TERMINAL ASSY,11873.0,2016
15,F9342NJ,CONNECTOR ASSY,19126.0,2016
16,F9920LV,LCD ASSY,16624.0,2016
17,F9342MK,NUT,37544.0,2016
18,F9340SB,VENT PLUG,17918.0,2016
19,D0114PB,VENT SCREW,17927.0,2016
20,D0114RZ,PLUG,18737.0,2016
21,F9340XX,CONNECTOR,7571.0,2016
22,F9900AU,BOLT,11410.0,2016
23,D0114RB,GASKET,7873.0,2016
24,F9300TE,BRACKET ASSY,9300.0,2016
25,D0117XL-A,U-BOLT,9908.0,2016
26,F9273CZ,BOLT,39632.0,2016
27,F9913QG,CASE,11142.0,2016
28,F9910LS,TERMINAL ASSY,19127.0,2016
29,Y9308JY,SCREW,38254.0,2016
30,A1462CC,FEEDTHRU CAP,55008.0,2016
31,Y9501WL,WASHER,57381.0,2016
32,G9303NC,O-RING,18986.0,2016
33,F9270BJ,SHAFT,18344.0,2016
34,Y9812PS,PIN,19127.0,2016
35,F9270BK,COLLAR,19127.0,2016
39,F9913JA,METER COVER ASSY,17435.0,2016
40,G9330DB,PLUG RED,42152.0,2016
42,CPA110Y-NFS5J-9NNNN,CPA,912.0,2016
83,F9913MY,PLUG,1622.0,2016
97,F9900GE,PLATE,15400.0,2016
104,F9900TB,FLANGE,16339.0,2016
106,F9900EA,GASCKET,19898.0,2016
110,F9900AC,BOLT,26236.0,2016
111,F9900BC,NUT,26236.0,2016
130,CPA110Y-NHSNN-NNNNN,CPA,1089.0,2016
147,F9920LU,LCD ASSY,2148.0,2016
167,CPA110Y-NMA5G-9NNNN,CPA,25.0,2016
215,CPA110Y-NMSNN-NNNNN,CPA,6740.0,2016
248,F9913QH,CASE,6218.0,2016
263,F9900RF,NAME PLATE,4372.0,2016
279,F9920BE,AMP ASSY,17.0,2016
280,F9920TS,TERMINAL ASSY,5149.0,2016
303,F9341JW,WASHER,7149.0,2016
308,F9341JZ,CLAMP ASSY,7072.0,2016
316,F9900RP,BOLT,10860.0,2016
380,F9921AD,AMP ASSY,606.0,2016
381,F9921TC,TERMINAL ASSY,310.0,2016
391,F9900AA,BOLT,12072.0,2016
392,F9900BA,NUT,12072.0,2016
399,F9342YB,FEEDTHROUGH CAP,1950.0,2016
427,F9921TA,TERMINAL ASSY,84.0,2016
485,F9900AS,BOLT,4362.0,2016
618,F9900UB,FLANGE,31.0,2016
710,F9900TM,FLANGE,705.0,2016
749,F9921AE,AMP ASSY,44.0,2016
750,F9921VA,LPT ASSY,11.0,2016
814,CPA110Y-NLH5J-9NNNN,CPA,81.0,2016
872,F9920BQ,AMP ASSY,11850.0,2016
901,CPA110Y-NFS5G-8NNNN,CPA,1.0,2016
915,F9920BN,AMP ASSY,6533.0,2016
948,CPA110Y-NFS5G-9NNNN,CPA,161.0,2016
967,F9340SD,VENT PLUG,621.0,2016
968,F9270HE,VENT SCREW,621.0,2016
972,F9340EM,BRACKET ASSY,608.0,2016
990,CPA110Y-NFS5J-7NNNN,CPA,6.0,2016
1181,F9920VS,LPT ASSY,1401.0,2016
1241,F9913QJ,CASE,419.0,2016
1254,F9900GP,PLUG,79.0,2016
1295,CPA110Y-NFS5G-7NNNN,CPA,4.0,2016
1529,F9900SB,BRACKET ASSY,665.0,2016
1530,F9900SN,BRACKET ASSY,7217.0,2016
1531,F9900SH,BOLT,2804.0,2016
1590,F9913KS,METER COVER ASSY,138.0,2016
1807,F9913SA,COVER,783.0,2016
1814,F9900RR,TAPPING SCREW,4540.0,2016
1815,F9900RH,SCREW,1566.0,2016
1831,F9913WH,CASE,419.0,2016
1838,F9900RL,SHAFT,783.0,2016
1844,F9913JZ,METER COVER,652.0,2016
1851,F9913CA,TERMINAL COVER,123.0,2016
1875,F9913AL,CASE,117.0,2016
1884,F9913MC,SCREW,55.0,2016
1886,F9913MA,SCREW,132.0,2016
1887,F9913GA,METER COVER ASSY,123.0,2016
1948,F9275ED,VENT PLUG,959.0,2016
1968,F9275ZZ,LABEL,764.0,2016
1969,F9340ND,LABEL,800.0,2016
1970,F9203ZA,PLUG,960.0,2016
1974,F9275EF,NEEDLE ASSY,959.0,2016
1975,F9275EG,NEEDLE ASSY,959.0,2016
1976,Y9400ET,NEEDLE ASSY,959.0,2016
1977,CPA110Y-NFS5J-7NNNN/K2,CPA,1.0,2016
