Group,Entry Month,Sales Office,DATE OF CREATION (mm/dd/yyyy),Order Category,INDENT / ORD PRO. ID,SAP Entry ,CUSTOMER,SO NO (FAK),YGSP SO NO,SO item No.,MODEL CODE,QTY,SO BASIC VALUE,CDD (mm/dd/yyyy),BASE MODEL,CAP. MOD,WET. Part,CAP. CATG,B/O O R,SEAL Reqt.,SEAL Vendor,M+TT,TRADING FOB,PAYMENT TYPE,INSPN,CDD WEEK,LD Clause,MC DATE (mm/dd/yyyy),Matl Req DATE (mm/dd/yyyy),Txr Category,Billing Month,Part. del. Accept,BASE,Protocol,CAP. Mod,Wet. Part,P-Connect,C-Bolt,Install.,Amp-Hous.,Ele.,IND,Mount,OPTIONS,Tokuchu,"LM Tokuchu 
(Yes / No) ",Parts Avail. Date  (mm/dd/yyyy),LM Readiness Date,MFG Status,"SCH. Date
(mm/dd/yyyy)",FG date   (mm/dd/yyyy),FG Material Status,DESP Date,DESP Month,Remarks,END USER,END USER CODE,Seal Rediness Date,Seal MC Remarks,SO+ITEM,RON / PL,TOKUCHU No.
PPMG,Aug-22,Baroda,08/23/2022,Toh-Toh,46399,YES,SRF LIMITED.,PBH2201043,2008485489,10,EJA530E-FBS4N-012DL/KS26/EE,78,"22,60,588.00",12-05-2022,EJA530E,B,S,Std,,N,,M,,CREDIT,,50,N,03/14/2023,03/21/2023,LM-Safe,04/30/2023,,EJA530E,F,B,S,4,N,0,1,2,D,L,/KS26/EE,-,,03-02-2023,03-04-2023,Sch.,04-04-2023,,,,,,SRF LIMITED.,200258155,,,2.01E+11,Hari Shankar K,
PPMG,Apr-23,Baroda,04-10-2023,Toh-Toh,46399,YES,SRF LIMITED.,PBH2201043,2008485489,90,EJA530E-FBS4N-012DL/KS26/EE,5,"1,36,180.00",12-05-2022,EJA530E,B,S,Std,,N,,M,,CREDIT,,50,N,04-10-2023,04/13/2023,LM-Safe,04/30/2023,,EJA530E,F,B,S,4,N,0,1,2,D,L,/KS26/EE,-,,03-02-2023,03-04-2023,MC Recd,04-04-2023,,,,,,SRF LIMITED.,200258155,,,2.01E+11,Hari Shankar K,
PPMG,Apr-23,Baroda,04-12-2023,Toh-Toh,46399,YES,SRF LIMITED.,PBH2201043,2008485489,100,EJA530E-FBS4N-012DL/KS26/EE,5, -   ,12-05-2022,EJA530E,B,S,Std,,N,,M,,CREDIT,,50,N,04-12-2023,04/15/2023,LM-Safe,04/30/2023,,EJA530E,F,B,S,4,N,0,1,2,D,L,/KS26/EE,-,,03-02-2023,03-04-2023,MC Recd,04-04-2023,,,,,,SRF LIMITED.,200258155,,,2.01E+12,Hari Shankar K,
Discrete,Aug-22,Bangalore,08/28/2022,Toh-Toh,46658,YES,JSW VIJAYANAGAR METALLICS LIMITED,FLH22M0438,2008489048,130,EJA530E-JBS4N-012EL/KU22/D4/HAC,18,"6,53,310.00",12/30/2022,EJA530E,Z,S,Tokuchu,,N,,M+T,,CREDIT,,53,N,01-02-2023,04/15/2023,LM-Cert,04/30/2023,,EJA530E,J,Z,S,4,N,0,1,2,E,L,/KU22/D4/HAC/Z (B-Capsule),Y,,02-01-2023,02-03-2023,MC Recd,,,,,,,JSW VIJAYANAGAR METALLICS LIMITED,200338166,,,2.01E+12,Komaleswara R,
Discrete,Aug-22,Bangalore,08/28/2022,Toh-Toh,46658,YES,JSW VIJAYANAGAR METALLICS LIMITED,FLH22M0438,2008489048,140,EJA530E-JBS4N-012EL/HAC,36,"8,81,280.00",12/30/2022,EJA530E,B,S,Std,,N,,M+T,,CREDIT,,53,N,01-02-2023,04/15/2023,LM-Safe,04/30/2023,,EJA530E,J,B,S,4,N,0,1,2,E,L,/HAC,-,,02-01-2023,02-03-2023,MC Recd,,,,,,,JSW VIJAYANAGAR METALLICS LIMITED,200338166,,,2.01E+12,Komaleswara R,
Discrete,Aug-22,Bangalore,08/28/2022,Toh-Toh,46658,YES,JSW VIJAYANAGAR METALLICS LIMITED,FLH22M0438,2008489048,150,EJA530E-JBS4N-012EL/HAC,17,"4,16,160.00",12/30/2022,EJA530E,B,S,Std,,N,,M+T,,CREDIT,,53,N,01-02-2023,04/15/2023,LM-Safe,04/30/2023,,EJA530E,J,B,S,4,N,0,1,2,E,L,/HAC,-,,02-01-2023,02-03-2023,MC Recd,,,,,,,JSW VIJAYANAGAR METALLICS LIMITED,200338166,,,2.01E+12,Komaleswara R,
Discrete,Aug-22,Bangalore,08/28/2022,Toh-Toh,46658,YES,JSW VIJAYANAGAR METALLICS LIMITED,FLH22M0438,2008489048,190,EJA530E-JBS4N-012EL/HAC,32,"7,83,360.00",12/30/2022,EJA530E,B,S,Std,,N,,M+T,,CREDIT,,53,N,01-02-2023,04/15/2023,LM-Safe,04/30/2023,,EJA530E,J,B,S,4,N,0,1,2,E,L,/HAC,-,,02-01-2023,02-03-2023,MC Recd,,,,,,,JSW VIJAYANAGAR METALLICS LIMITED,200338166,,,2.01E+12,Komaleswara R,
Discrete,Aug-22,Bangalore,08/28/2022,Toh-Toh,46658,YES,JSW VIJAYANAGAR METALLICS LIMITED,FLH22M0438,2008489048,200,EJA530E-JBS4N-012EL/HAC,2,"48,960.00",12/30/2022,EJA530E,B,S,Std,,N,,M+T,,CREDIT,,53,N,01-02-2023,04/15/2023,LM-Safe,04/30/2023,,EJA530E,J,B,S,4,N,0,1,2,E,L,/HAC,-,,02-01-2023,02-03-2023,MC Recd,,,,,,,JSW VIJAYANAGAR METALLICS LIMITED,200338166,,,2.01E+12,Komaleswara R,
Discrete,Aug-22,Bangalore,08/28/2022,Toh-Toh,46658,YES,JSW VIJAYANAGAR METALLICS LIMITED,FLH22M0438,2008489048,210,EJA530E-JBS4N-012EL/HAC,33,"8,07,840.00",12/30/2022,EJA530E,B,S,Std,,N,,M+T,,CREDIT,,53,N,01-02-2023,04/15/2023,LM-Safe,04/30/2023,,EJA530E,J,B,S,4,N,0,1,2,E,L,/HAC,-,,02-01-2023,02-03-2023,MC Recd,,,,,,,JSW VIJAYANAGAR METALLICS LIMITED,200338166,,,2.01E+12,Komaleswara R,
Discrete,Aug-22,Bangalore,08/28/2022,Toh-Toh,46658,YES,JSW VIJAYANAGAR METALLICS LIMITED,FLH22M0438,2008489048,220,EJA530E-JBS4N-012EL/HAC,3,"73,440.00",12/30/2022,EJA530E,B,S,Std,,N,,M+T,,CREDIT,,53,N,01-02-2023,04/15/2023,LM-Safe,04/30/2023,,EJA530E,J,B,S,4,N,0,1,2,E,L,/HAC,-,,02-01-2023,02-03-2023,MC Recd,,,,,,,JSW VIJAYANAGAR METALLICS LIMITED,200338166,,,2.01E+12,Komaleswara R,
