Plant,Plant Description,Storage Location,Storage Location Description,Material Number,MS Code,Material Description,Sales Document,Sales Document Item,Linkage Number,Stock Quantity,Unit,Serial Number,Stock Amount
2Q00,YIL,2002,Line-side Transm,F9913MB,,BOLT,,0,,106,ST,,11.65
2Q00,YIL,2002,Line-side Transm,F9913MA,,SCREW,,0,,65,ST,,2.91
2Q00,YIL,2002,Line-side Transm,F9913KA,,METER COVER ASSY,,0,,28,ST,,992.01
2Q00,YIL,2002,Line-side Transm,F9913JZ,,METER COVER,,0,,32,ST,,"1,229.29"
2Q00,YIL,2002,Line-side Transm,F9913JS,,METER COVER,,0,,21,ST,,877.75
2Q00,YIL,2002,Line-side Transm,F9913JA,,COVER ASSY,,0,,"1,315",ST,,615.00
2Q00,YIL,2002,Line-side Transm,F9913GS,,METER COVER ASSY,,0,,13,ST,,865.37
2Q00,YIL,2002,Line-side Transm,F9913GA,,METER COVER ASSY,,0,,48,ST,,701.61
2Q00,YIL,2002,Line-side Transm,F9913CA,,TERMINAL COVER,,0,,58,ST,,367.55
2Q00,YIL,2002,Line-side Transm,F9910LS,,TERMINAL ASSY,,0,,146,ST,,64.78
2Q00,YIL,2002,Line-side Transm,F9910LE,,O-RING,,0,,699,ST,,6.55
2Q00,YIL,2002,Line-side Transm,F9903CZ,,PLUG,,0,,8,ST,,188.50
2Q00,YIL,2002,Line-side Transm,F9900UB,,FLANGE,,0,,6,ST,,"1,414.15"
2Q00,YIL,2002,Line-side Transm,F9900TM,,COVER FLANGE (FOR 3RD PARTY'S DFS),,0,,16,ST,,"1,493.47"
2Q00,YIL,2002,Line-side Transm,F9900TL,,FLANGE,,0,,3,ST,,"1,300.61"
2Q00,YIL,2002,Line-side Transm,F9900TH,,FLANGE,,0,,4,ST,,"1,045.14"
2Q00,YIL,2002,Line-side Transm,F9900TE,,FLANGE,,0,,47,ST,,"1,264.21"
2Q00,YIL,2002,Line-side Transm,F9900TD,,FLANGE,,0,,9,ST,,"1,247.48"
2Q00,YIL,2002,Line-side Transm,F9900TB,,FLANGE,,0,,126,ST,,"1,056.06"
2Q00,YIL,2002,Line-side Transm,F9900SN,,U-BOLT ASSY,,0,,195,ST,,98.99
2Q00,YIL,2002,Line-side Transm,F9900SK,,U-BOLT ASSY,,0,,246,ST,,56.77
2Q00,YIL,2002,Line-side Transm,F9900SH,,BOLT,,0,,140,ST,,24.02
2Q00,YIL,2002,Line-side Transm,F9900SG,,SCREW,,0,,62,ST,,45.85
2Q00,YIL,2002,Line-side Transm,F9900SF,,BRACKET,,0,,119,ST,,397.38
