ORD. GROUP,Entry Month,Sales Office,DATE OF CREATION (mm/dd/yyyy),Order Category,INDENT / ORD PRO. ID,SAP Entry ,CUSTOMER,SO NO (FAK),YGSP SO NO,SO item No.,MODEL CODE,QTY,SO BASIC VALUE,CDD (mm/dd/yyyy),BASE MODEL,CAP. MOD,WET. Part,CAP. CATG,B/O O R,SEAL Reqt.,SEAL Vendor,M+TT,TRADING FOB,PAYMENT TYPE,INSPN,CDD WEEK,LD Clause,MC DATE (mm/dd/yyyy),Matl Req DATE (mm/dd/yyyy),.,Billing Month,Part. del. Accept,BASE,Protocol,CAP. Mod,Wet. Part,P-Connect,C-Bolt,Install.,Amp-Hous.,Ele.,IND,Mount,OPTIONS,Tokuchu,"LM Tokuchu 
(Yes / No) ",Parts Avail. Date  (mm/dd/yyyy),LM Readiness Date,MFG Status,"SCH. Date
(mm/dd/yyyy)",FG date   (mm/dd/yyyy),FG Material Status,DESP Date,DESP Month,Remarks,END USER,END USER CODE,Seal Rediness Date,Seal MC Remarks,Consolidate,RON / PL,TOKUCHU No.,Nov-21,OPD,PPMG Plan,,
PPMG,Mar-20,Mumbai,3/4/2020,BL,25804,YES,TATA PROJECTS LIMITED,PMB20M0111,2006478277,"5050, 5060, 5070, 5080, 5250, 5490, 5930, 5940, 5950, 5960, 5970, 5980",EJA530E-JBS7N-022EL/KU22,12," 431,684.76 ",4/30/2020,EJA530E,B,S,Std,,Y,WIKA,M+T,8/21/2020,CREDIT,YES,18,Y,,,,12/31/2021,,EJA530E,J,B,S,7,N,0,2,2,E,L,/KU22,-,,4/13/2020,4/15/2020,MC awtd,,,,,,,TATA PROJECTS LIMITED,200302564,,,,Vidish Sharma K,,11/30/2021,Dec-21,1/1/2022,1/1/2022,
Discrete,Jul-20,Baroda,7/15/2020,BL,26723,NO,GUJARAT FLUOROCHEMICALS LIMITED,MBC2000346,2006529037,10,EJA110E-JMA4J-912EB,4," 277,332.00 ",6/5/2020,EJA110E,M,A,Exotic,,N,-,M,---,PI,,23,N,,,,12/31/2021,,EJA110E,J,M,A,4,J,9,1,2,E,B,,-,,9/18/2020,9/22/2020,Forecast,,,,,,,GUJARAT FLUOROCHEMICALS LIMITED,200256904,,,,Surmica Mukherjee,,1/0/1900,#N/A,#N/A,#N/A,
Discrete,Jul-20,Baroda,7/15/2020,BL,29847,NO,GUJARAT FLUOROCHEMICALS LIMITED,MBF2000664,2006737770,10,EJA110E-JMA4J-912EB,4," 177,492.48 ",9/9/2020,EJA110E,M,A,Exotic,,N,-,M,---,PI,,37,N,,,,12/31/2021,,EJA110E,J,M,A,4,J,9,1,2,E,B,,-,,9/18/2020,9/22/2020,Forecast,,,,,,,GUJARAT FLUOROCHEMICALS LIMITED,200256904,,,,Surmica Mukherjee,,1/0/1900,#N/A,#N/A,#N/A,
Discrete,Sep-20,Baroda,9/11/2020,BL,30692,NO,GUJARAT FLUOROCHEMICALS LIMITED,MBH2000912,2006864096,10,EJA530E-JCS7N-012EL/KU22,1," 25,680.00 ",11/3/2020,EJA530E,C,S,Std,,N,-,M,---,PI,,45,N,,,,12/31/2021,,EJA530E,J,C,S,7,N,0,1,2,E,L,/KU22,-,,10/7/2020,10/9/2020,Forecast,,,,,,,GUJARAT FLUOROCHEMICALS LIMITED,200256904,,,,Surmica Mukherjee,,1/0/1900,#N/A,#N/A,#N/A,
Discrete,Sep-20,Baroda,9/11/2020,BL,30455,YES,GUJARAT FLUOROCHEMICALS LIMITED,FBH20M0845,2006825455,40,EJA110E-JMA4J-912EB/KU22/X2,2," 95,111.40 ",11/19/2020,EJA110E,M,A,Exotic,,N,-,M+T,11/30/2020,PI,,47,N,,,,12/31/2021,,EJA110E,J,M,A,4,J,9,1,2,E,B,/KU22/X2,-,,10/27/2020,10/29/2020,MC awtd,,,,,,,GUJARAT FLUOROCHEMICALS LIMITED,200256904,,,,Surmica Mukherjee,,12/31/2021,CF-GFL,#N/A,#N/A,
Discrete,Oct-20,Baroda,10/9/2020,BL,31291,NO,GUJARAT FLUOROCHEMICALS LIMITED,MBI2001082,2006922197,10,EJA110E-JMD4G-912EB,2," 116,132.00 ",12/14/2020,EJA110E,M,D,Exotic,,N,-,M,---,CREDIT,,51,N,,,,12/31/2021,,EJA110E,J,M,D,4,G,9,1,2,E,B,,-,,11/3/2020,11/5/2020,Forecast,,,,,,,GUJARAT FLUOROCHEMICALS LIMITED,200256904,,,,Surmica Mukherjee,,1/0/1900,#N/A,#N/A,#N/A,
Discrete,Nov-20,Baroda,11/23/2020,BL,32127,NO,GUJARAT FLUOROCHEMICALS LIMITED,MBK2001317,2007031288,10,EJA110E-JMA5J-912EB/KU22/X2,2," 95,260.00 ",1/15/2021,EJA110E,M,A,Exotic,,N,-,M,---,PI,,3,N,,,,12/31/2021,,EJA110E,J,M,A,5,J,9,1,2,E,B,/KU22/X2,-,,12/28/2020,12/30/2020,Forecast,,,,,,,GUJARAT FLUOROCHEMICALS LIMITED,200256904,,,,Surmica Mukherjee,,1/0/1900,#N/A,#N/A,#N/A,
Discrete,Nov-20,Baroda,11/30/2020,BL,32268,YES,GUJARAT FLUOROCHEMICALS LIMITED,MBK2001348,2007055015,10,EJA430E-JBS4G-912EB/KU22/X2,3," 101,184.00 ",1/5/2021,EJA430E,B,S,Exotic,,N,-,M,---,PI,,2,N,,,,12/31/2021,,EJA430E,J,B,S,4,G,9,1,2,E,B,/KU22/X2,-,,12/28/2020,12/30/2020,MC awtd,,,,,,,GUJARAT FLUOROCHEMICALS LIMITED,200256904,,,,Surmica Mukherjee,,11/30/2021,CF-GFL,#N/A,#N/A,
PPMG,Mar-21,Baroda,3/31/2021,BL,33158,YES,BOSCH REXROTH (INDIA) PRIVATE  LIMI,MBA21Y0012,2007261667,20,EJA530E-JCS4N-012EL/D4/C1/CA,1," 40,774.80 ",9/3/2021,EJA530E,Z,S,Tokuchu,,N,-,M,---,CREDIT,,36,N,,,,12/31/2021,,EJA530E,J,Z,S,4,N,0,1,2,E,L,/D4/C1/CA (C - Capsule),Y,,4/28/2021,4/30/2021,MC awtd,,,,,,,BOSCH REXROTH (INDIA) PRIVATE  LIMI,200255719,,,,Vidish Sharma K,,12/31/2021,Dec-21,12/1/2021,12/1/2021,
PPMG,Mar-21,Baroda,3/31/2021,BL,33158,YES,BOSCH REXROTH (INDIA) PRIVATE  LIMI,MBA21Y0012,2007261667,40,EJA530E-JDS4N-012EL/D4/C1/CA,1," 43,775.40 ",9/3/2021,EJA530E,D,S,Std,,N,-,M,---,CREDIT,,36,N,,,,12/31/2021,,EJA530E,J,D,S,4,N,0,1,2,E,L,/D4/C1/CA,-,,4/28/2021,4/30/2021,MC awtd,,,,,,,BOSCH REXROTH (INDIA) PRIVATE  LIMI,200255719,,,,Vidish Sharma K,,12/31/2021,Dec-21,12/1/2021,12/1/2021,
