SAP Linkage No,yhq Sales Order No,yhq Sales Order Item No,Order Type,Model,Qty,QIC Delivery Style,"Contractor
Corporate
ID",P/O  No.,"Customer's
P/O No.","Delivery
Customer
Id","End user
Country
Code","Estimated
FOB","yhq
Sales
Date
(On or about
Ship date)",Remarks,Ship Point,MS Code,Production Center,"Ship Point 
(ship from 
factory)",Order No,Item No,"Start
Manufacturing
Date","Instructed
Complete
Date","Complete
Date",Actual Date,"Current
Status"
1005869651000010,2007014539,000010,Y101,SS2CPMLM,1,,L2Q00,4508528489,4508528489,C2Q00012,IN,2020/10/30,,,1022,SS2CPMLM-V1101-S1001,,,,,,2020/10/23,,,
1005873460000010,2007018867,000020,Y101,LS1SN001,3,,L2Q00,4508534417,4508534417,C2Q00012,IN,2020/11/16,,,1092,LS1SN001-E01/AV,,,,,,2020/11/16,,,
1005883434000010,2007031442,000010,Y101,SS2CPMLM,1,,L2Q00,4508552189,4508552189,C2Q00012,IN,2020/11/04,,,1022,SS2CPMLM-V1101-S1001,,,,,,2020/10/27,,,
1005883530000010,2007031443,000010,Y101,SS2CPMLM,1,,L2Q00,4508552290,4508552290,C2Q00012,IN,2020/11/04,,,1022,SS2CPMLM-V1101-S1001,,,,,,2020/10/27,,,
1005886986000010,2007033450,000010,Y101,SS2CPMLM,1,,L2Q00,4508555124,4508555124,C2Q00012,IN,2020/11/04,,,1022,SS2CPMLM-V1101-S1001,,,,,,2020/10/27,,,
1006140320000010,2007262075,000180,Y101,LS1SN001,4,,L2Q00,4508857864,4508857864,C2Q00012,IN,2021/08/11,2021/10/08,,1092,LS1SN001-E01/AV,,,,,,2021/08/11,,2021/10/08,
1006158759000010,2007317551,000010,Y101,YTA610,2,B,L2Q00,4508929428,4508929428,200088502,IN,2021/06/09,2021/10/22,,1023,YTA610-JA2A4DK/A/X2/C2/N4/KU2/SG,,,,,,2021/05/11,,2021/09/29,
1006176612000010,2007317551,000050,Y101,YFGW410,6,A,L2Q00,4508929428,4508929428,200088502,IN,2021/05/31,,,1023,YFGW410-A-C10D1AA/KN27,,,,,,2021/05/17,,2021/11/17,
1006181302000010,2007317551,000080,Y101,YTA510,7,B,L2Q00,4508929428,4508929428,200088502,IN,2021/05/24,,,1023,YTA510-L8DDKAA/X2/KS27,,,,,,2021/04/21,,2021/11/17,
1006182253000010,2007342421,000010,Y101,GP1SY,1,,L2Q00,4508957163,4508957163,C2Q00012,IN,2021/05/17,,,1009,GP1SY-01XX210W1016E,,,,,,2021/05/10,,,
1006187770000010,2007317551,000110,Y101,EJX530A,20,B,L2Q00,4508929428,4508929428,200088502,IN,2021/06/07,2021/10/22,,1023,EJX530A-JDH4N-03DDL/KU22/D3/X2/A/C2/T08/N4/MA2,,,,,,2021/05/17,,2021/09/29,
1006187771000010,2007317551,000120,Y101,EJX530A,18,B,L2Q00,4508929428,4508929428,200088502,IN,2021/06/07,2021/10/22,,1023,EJX530A-JDH4N-03DDL/KU22/D3/X2/A/C2/T08/N4/MA2,,,,,,2021/05/17,,2021/09/29,
1006187772000010,2007317551,000130,Y101,EJX530A,18,B,L2Q00,4508929428,4508929428,200088502,IN,2021/06/07,2021/10/22,,1023,EJX530A-JDH4N-03DDL/KU22/D3/X2/A/C2/T08/N4/MA2,,,,,,2021/05/17,,2021/09/29,
1006187773000010,2007317551,000140,Y101,EJX530A,20,B,L2Q00,4508929428,4508929428,200088502,IN,2021/06/07,2021/10/22,,1023,EJX530A-JDH4N-03DDL/KU22/D3/X2/A/C2/T08/N4/MA2,,,,,,2021/05/17,,2021/09/29,
1006187774000010,2007317551,000150,Y101,EJX530A,20,B,L2Q00,4508929428,4508929428,200088502,IN,2021/06/07,2021/10/22,,1023,EJX530A-JDH4N-03DDL/KU22/D3/X2/A/C2/T08/N4/MA2,,,,,,2021/05/17,,2021/09/29,
1006187775000010,2007317551,000160,Y101,EJX530A,18,B,L2Q00,4508929428,4508929428,200088502,IN,2021/06/07,2021/10/22,,1023,EJX530A-JDH4N-03DDL/KU22/D3/X2/A/C2/T08/N4/MA2,,,,,,2021/05/17,,2021/09/29,
1006219157000010,2007388070,000020,Y101,FTSPRG,1,,L2Q00,4509015336,4509015336,C2Q00012,IN,2021/09/24,2021/09/29,,1022,FTSPRG-S1,,,,,,2021/09/15,,2021/09/27,
1006271857000010,2007317551,000210,Y101,EJX530A,12,B,L2Q00,4508929428,4508929428,200088502,IN,2021/07/08,2021/10/22,,1023,EJX530A-JDH4N-03DDL/KU22/D3/X2/A/C2/T08/N4/MA2,,,,,,2021/06/17,,2021/09/29,
1006281983000010,2007441431,000030,Y101,LS1SN001,6,,L2Q00,4509117143,4509117143,C2Q00012,IN,2021/06/15,,,1092,LS1SN001-E01/AV,,,,,,2021/06/15,,,
1006282176000010,2007441431,000060,Y101,LS1SR001,6,,L2Q00,4509117143,4509117143,C2Q00012,IN,2021/06/15,,,1092,LS1SR001-E01/AV,,,,,,2021/06/15,,,
