SAP Linkage No,YHQ Sales Order No,yhq Sales Order Item No,Order Type,Model,Qty,QIC Delivery Style,"Contractor
Corporate
ID",P/O  No.,"Customer's
P/O No.","Delivery
Customer
Id","End user
Country
Code","Estimated
FOB","yhq
Sales
Date
(On or about
Ship date)",Remarks,Ship Point,MS Code,Production Center,"Ship Point 
(ship from 
factory)",Order No,Item No,"Start
Manufacturing
Date","Instructed
Complete
Date","Complete
Date",Actual Date,"Current
Status"
1.01E+15,2007014539,10,Y101,SS2CPMLM,1,,L2Q00,4508528489,4508528489,C2Q00012,IN,10/30/2020,,,1022,SS2CPMLM-V1101-S1001,,,,,,10/23/2020,,,
1.01E+15,2007018867,20,Y101,LS1SN001,3,,L2Q00,4508534417,4508534417,C2Q00012,IN,11/16/2020,,,1092,LS1SN001-E01/AV,,,,,,11/16/2020,,,
1.01E+15,2007031442,10,Y101,SS2CPMLM,1,,L2Q00,4508552189,4508552189,C2Q00012,IN,11/4/2020,,,1022,SS2CPMLM-V1101-S1001,,,,,,10/27/2020,,,
1.01E+15,2007031443,10,Y101,SS2CPMLM,1,,L2Q00,4508552290,4508552290,C2Q00012,IN,11/4/2020,,,1022,SS2CPMLM-V1101-S1001,,,,,,10/27/2020,,,
1.01E+15,2007033450,10,Y101,SS2CPMLM,1,,L2Q00,4508555124,4508555124,C2Q00012,IN,11/4/2020,,,1022,SS2CPMLM-V1101-S1001,,,,,,10/27/2020,,,
1.01E+15,2007185078,50,Y101,LS1SN001,3,,L2Q00,4508759389,4508759389,C2Q00012,IN,2/3/2021,6/16/2021,,1092,LS1SN001-E01/AV,,,,,,2/3/2021,,6/16/2021,
1.01E+15,2007264233,10,Y101,TDLS8000,4,A,L2Q00,4508861129,4508861129,C2Q00012,IN,6/30/2021,8/6/2021,,1009,TDLS8000-E1-X1-U2-A1-N-N/MU/Z,,,,,,6/17/2021,,8/6/2021,
1.01E+15,2007264233,20,Y101,K9775XA,4,,L2Q00,4508861129,4508861129,C2Q00012,IN,6/1/2021,8/6/2021,,1009,K9775XA,,,,,,5/19/2021,,8/6/2021,
1.01E+15,2007278461,10,Y101,K9775XB,1,,L2Q00,4508879473,4508879473,C2Q00012,IN,4/16/2021,6/23/2021,,1009,K9775XB,,,,,,4/5/2021,,6/23/2021,
1.01E+15,2007278461,20,Y101,K9771JN,2,,L2Q00,4508879473,4508879473,C2Q00012,IN,4/16/2021,6/23/2021,,1009,K9771JN,,,,,,4/5/2021,,6/23/2021,
1.01E+15,2007278461,70,Y101,PARTS109A,1,,L2Q00,4508879473,4508879473,C2Q00012,IN,4/21/2021,6/23/2021,,1009,PARTS109A=TDLSU98=K9771JP,,,,,,4/8/2021,,6/23/2021,
1.01E+15,2007278461,30,Y101,PARTS109A,1,,L2Q00,4508879473,4508879473,C2Q00012,IN,4/21/2021,6/23/2021,,1009,PARTS109A=TDLSU98=K9771DF,,,,,,4/8/2021,,6/23/2021,
1.01E+15,2007288420,10,Y101,GC8000,1,A,L2Q00,4508892612,4508892612,C2Q00012,IN,8/18/2021,7/28/2021,,1072,GC8000-E100CN1-BEQ-WNE2-PD25N-A-NNN/Z,YMG,5831,2007288483,10,5/10/2021,8/10/2021,6/16/2021,7/19/2021,Ship Out
1.01E+15,2007288420,20,Y101,GCVN,1,,L2Q00,4508892612,4508892612,C2Q00012,IN,8/18/2021,7/28/2021,,1072,GCVN-111ECN0-BNL-C003C001-5N50BN-2H0A07P-NNN/Z,YMG,5831,2007288483,20,5/10/2021,8/10/2021,6/16/2021,7/19/2021,Ship Out
1.01E+15,2007288420,30,Y101,ASET,1,,L2Q00,4508892612,4508892612,C2Q00012,IN,7/26/2021,7/28/2021,,1072,ASET-S01E-NN,YMG,5831,2007288483,30,4/27/2021,7/14/2021,7/13/2021,7/13/2021,Ship Out
1.01E+15,2007288420,40,Y101,PARTS1100,1,,L2Q00,4508892612,4508892612,C2Q00012,IN,8/25/2021,7/28/2021,,1072,PARTS1100=GCCL=SPE_COLUMN,YMG,5831,2007288483,40,5/12/2021,8/17/2021,6/17/2021,7/19/2021,Ship Out
1.01E+15,2007288420,50,Y101,A1423EF,2,,L2Q00,4508892612,4508892612,C2Q00012,IN,5/11/2021,7/28/2021,,1022,A1423EF,,,,,,4/21/2021,,7/21/2021,
1.01E+15,2007288420,60,Y101,A1663UP,1,,L2Q00,4508892612,4508892612,C2Q00012,IN,5/11/2021,7/28/2021,,1022,A1663UP,,,,,,4/21/2021,,7/21/2021,
1.01E+15,2007288420,70,Y101,K9804FC,1,,L2Q00,4508892612,4508892612,C2Q00012,IN,5/25/2021,7/28/2021,,1022,K9804FC,YMG,5831,2007288483,70,4/27/2021,5/17/2021,5/12/2021,5/12/2021,Ship Out
1.01E+15,2007262075,180,Y101,LS1SN001,4,,L2Q00,4508857864,4508857864,C2Q00012,IN,8/11/2021,,,1092,LS1SN001-E01/AV,,,,,,8/11/2021,,,
1.01E+15,2007299026,10,Y101,TDLS8000,1,A,L2Q00,4508906174,4508906174,C2Q00012,IN,6/8/2021,7/15/2021,,1009,TDLS8000-E1-X1-U2-A1-J-N/MU/Z,,,,,,5/25/2021,,7/15/2021,
1.01E+15,2007299026,20,Y101,K9775XA,1,,L2Q00,4508906174,4508906174,C2Q00012,IN,6/1/2021,7/15/2021,,1009,K9775XA,,,,,,5/19/2021,,7/15/2021,
1.01E+15,2007278461,100,Y101,TDLS8000,1,A,L2Q00,4508879473,4508879473,C2Q00012,IN,4/23/2021,6/23/2021,,1009,TDLS8000-E2-X1-U3-A1-N-N/RX/MU,,,,,,4/12/2021,,6/23/2021,
1.01E+15,2007317551,10,Y101,YTA610,2,B,L2Q00,4508929428,4508929428,200088502,IN,6/9/2021,,,1023,YTA610-JA2A4DK/A/X2/C2/N4/KU2/SG,,,,,,5/11/2021,,,
1.01E+15,2007317551,50,Y101,YFGW410,6,A,L2Q00,4508929428,4508929428,200088502,IN,5/25/2021,,,1022,YFGW410-A-C10D1AA/KN27,YMG,5826,2007335937,10,4/27/2021,5/17/2021,5/7/2021,5/8/2021,DIL
1.01E+15,2007312089,230,Y101,GP1SY,4,,L2Q00,4508922161,4508922161,C2Q00012,IN,5/16/2021,6/23/2021,,1009,GP1SY-01XX210W1019E,,,,,,5/7/2021,,6/23/2021,
1.01E+15,2007317551,80,Y101,YTA510,7,B,L2Q00,4508929428,4508929428,200088502,IN,5/18/2021,,,1022,YTA510-L8DDKAA/X2/KS27,,,,,,4/21/2021,,,
1.01E+15,2007342460,20,Y101,S9562FA,1,,L2Q00,4508957097,4508957097,C2Q00012,IN,6/12/2021,6/30/2021,,1009,S9562FA,YAS,3U12,2007342467,20,5/21/2021,6/2/2021,6/1/2021,6/30/2021,Ship Out
