Name 1,Posting Date,Material,Material Description,Cost Center,Movement Type Text,Sales Order,Order,Network,Qty in Un. of Entry,Unit of Entry,Purchase Order,Customer,Vendor,Consumption,Storage Location,Special Stock,Movement Type,Trans./Event Type,Plant,Material Document,Material Doc.Item,Asset,Subnumber,Counter,Routing number for operations,Document Header Text,Document Date,Qty in OPUn,Order Price Unit,Order Unit,Qty in order unit,Company Code,Valuation Type,Batch,Entry Date,Time of Entry,Amount in LC,Smart Number,Item,Ext. Amount in Local Currency,Sales Value,Reason for Movement,Sales Order Schedule,Sales Order Item,Movement indicator,Receipt Indicator,Sales Order,Sales order item,Base Unit of Measure,Quantity,Material Doc. Year,Operation/Activity,WBS Element,Reservation,Item No.Stock Transfer Reserv.,Debit/Credit Ind.,User name,Sales Value inc. VAT,Currency,Goods Receipt/Issue Slip,Item automatically created,Reference,Original Line Item,Multiple Account Assignment
YIL,9/9/2021,F9340XX,CONNECTOR,,GR for PO,,,,168,ST,4509373735,,V1000007,,9002,,907,WE,2Q00,5024983265,7,,,0,0,INBLR4:5280839,8/31/2021,168,ST,ST,168,2Q00,,,9/9/2021,4:29:27 PM,"74,681.04",,70,0.00,0.00,0,0,0,B,,,0,ST,168,2021,,,0,0,S,30038064,0.00,INR,,,0185215507,0,
YIL,9/9/2021,F9342NJ,CABLE ASSY,,GR for PO,,,,600,ST,4509373735,,V1000007,,9002,,907,WE,2Q00,5024983265,6,,,0,0,INBLR4:5280839,8/31/2021,600,ST,ST,600,2Q00,,,9/9/2021,4:29:27 PM,"13,272.00",,10,0.00,0.00,0,0,0,B,,,0,ST,600,2021,,,0,0,S,30038064,0.00,INR,,,0185215507,0,
YIL,9/9/2021,F9900GD,PLATE,,GR for PO,,,,100,ST,4509323098,,V1000007,,9002,,907,WE,2Q00,5024983265,5,,,0,0,INBLR4:5280839,8/31/2021,100,ST,ST,100,2Q00,,,9/9/2021,4:29:27 PM,"1,401.00",,10,0.00,0.00,0,0,0,B,,,0,ST,100,2021,,,0,0,S,30038064,0.00,INR,,,0185215507,0,
YIL,9/9/2021,F9900GZ,SCREW,,GR for PO,,,,"28,000",ST,4509309681,,V1000007,,9002,,907,WE,2Q00,5024983265,2,,,0,0,INBLR4:5280839,8/31/2021,"28,000",ST,ST,"28,000",2Q00,,,9/9/2021,4:29:27 PM,"41,160.00",,180,0.00,0.00,0,0,0,B,,,0,ST,"28,000",2021,,,0,0,S,30038064,0.00,INR,,,0185215507,0,
YIL,9/9/2021,F9920LU,LCD ASSY,,GR for PO,,,,60,ST,4509271443,,V1000007,,9002,,907,WE,2Q00,5024983265,1,,,0,0,INBLR4:5280839,8/31/2021,60,ST,ST,60,2Q00,,,9/9/2021,4:29:27 PM,"70,726.80",,80,0.00,0.00,0,0,0,B,,,0,ST,60,2021,,,0,0,S,30038064,0.00,INR,,,0185215507,0,
YIL,9/9/2021,F9920LV,LCD ASSY,,GR for PO,,,,240,ST,4509315314,,V1000007,,9002,,907,WE,2Q00,5024983265,3,,,0,0,INBLR4:5280839,8/31/2021,240,ST,ST,240,2Q00,,,9/9/2021,4:29:27 PM,"282,907.20",,60,0.00,0.00,0,0,0,B,,,0,ST,240,2021,,,0,0,S,30038064,0.00,INR,,,0185215507,0,
YIL,9/9/2021,F9920LV,LCD ASSY,,GR for PO,,,,120,ST,4509315314,,V1000007,,9002,,907,WE,2Q00,5024983265,4,,,0,0,INBLR4:5280839,8/31/2021,120,ST,ST,120,2Q00,,,9/9/2021,4:29:27 PM,"141,453.60",,70,0.00,0.00,0,0,0,B,,,0,ST,120,2021,,,0,0,S,30038064,0.00,INR,,,0185215507,0,
YIL,9/9/2021,F9940WJ,SCREW,,GR for PO,,,,100,ST,4509373735,,V1000007,,9002,,907,WE,2Q00,5024983265,8,,,0,0,INBLR4:5280839,8/31/2021,100,ST,ST,100,2Q00,,,9/9/2021,4:29:27 PM,"1,401.00",,160,0.00,0.00,0,0,0,B,,,0,ST,100,2021,,,0,0,S,30038064,0.00,INR,,,0185215507,0,
YIL,9/9/2021,F9900AS,BOLT,,GR for PO,,,,200,ST,4509328988,,V1000007,,9002,,907,WE,2Q00,5024983264,2,,,0,0,INBLR4:5280839,9/1/2021,200,ST,ST,200,2Q00,,,9/9/2021,4:29:24 PM,"22,262.00",,30,0.00,0.00,0,0,0,B,,,0,ST,200,2021,,,0,0,S,30038064,0.00,INR,,,0185215479,0,
YIL,9/9/2021,F9920TP,TERMINAL ASSY,,GR for PO,,,,180,ST,4509328988,,V1000007,,9002,,907,WE,2Q00,5024983264,1,,,0,0,INBLR4:5280839,9/1/2021,180,ST,ST,180,2Q00,,,9/9/2021,4:29:24 PM,"104,565.60",,10,0.00,0.00,0,0,0,B,,,0,ST,180,2021,,,0,0,S,30038064,0.00,INR,,,0185215479,0,
