SAP Linkage No,Sales Order No,Sales Order Item No,Model,P/O  No.,"Customer's
P/O No.","End user
Country
Code",Qty,"Estimated
FOB","YHQ
Sales
Date",Remarks,MS Code,"Acknowledgment
Ex-Uenohara","Qty
Ex-Uenohara",YMG's Note
1006232678000020,2007405173,000020,F9900RF,4509030803,4509030803,IN,1000,2021/08/18,2021/08/18,,F9900RF,,,-
1006232678000050,2007405173,000050,F9299ZZ,4509030803,4509030803,IN,5,2021/08/18,2021/08/13,,F9299ZZ,,,-
1006376799000030,2007535433,000030,F9270BK,4509236359,4509236359,IN,2000,2021/08/18,,,F9270BK,,,-
1006248611000030,2007406766,000030,F9341JZ,4509077824,4509077824,IN,1000,2021/08/24,2021/08/27,,F9341JZ,,,-
1006358681000150,2007520642,000150,F9340WX,4509217627,4509217627,IN,10,2021/08/24,2021/08/13,,F9340WX,,,-
1006427292000060,2007586391,000060,F9300AF,4509298204,4509298204,IN,1400,2021/08/24,,,F9300AF,,,-
1006368451000050,2007526712,000050,F9910LS,4509226029,4509226029,IN,1120,2021/08/31,2021/08/27,,F9910LS,,,-
1006369090000040,2007527543,000040,F9340SB,4509226919,4509226919,IN,700,2021/08/16,2021/08/13,,F9340SB,,,-
1006369090000100,2007527543,000100,F9270BJ,4509226919,4509226919,IN,1000,2021/09/09,2021/09/08,,F9270BJ,,,-
1006369090000130,2007527543,000130,G9303NC,4509226919,4509226919,IN,1000,2021/08/16,2021/08/27,,G9303NC,,,-
1006369090000150,2007527543,000150,F9900AA,4509226919,4509226919,IN,1000,2021/08/26,2021/08/25,,F9900AA,,,-
1006369090000200,2007527543,000200,F9920VS,4509226919,4509226919,IN,90,2021/08/18,2021/08/13,,F9920VS,,,-
1006404396000050,2007564043,000050,D0117XL-A,4509271442,4509271442,IN,1500,2021/08/27,,,D0117XL-A,,,-
1006421650000020,2007583144,000010,F9145YN,4509294393,4509294393,IN,5,2021/08/31,,,F9145YN,,,-
1006373095000060,2007531691,000060,F9903DM,4509232091,4509232091,IN,60,2021/09/09,2021/09/01,,F9903DM,,,-
1006373095000080,2007531691,000080,F9920LU,4509232091,4509232091,IN,60,2021/09/03,2021/09/01,,F9920LU,,,-
1006376799000020,2007535433,000020,F9900RS,4509236359,4509236359,IN,1000,2021/08/18,2021/08/13,,F9900RS,,,-
1006410415000040,2007570111,000040,F9202SJ,4509278528,4509278528,IN,1,2021/09/01,,,F9202SJ,,,-
1006376799000150,2007535433,000150,F9900SK,4509236359,4509236359,IN,2400,2021/08/27,2021/08/25,,F9900SK,2021/08/27,,4509316889-00010
1006376799000160,2007535433,000160,F9900SN,4509236359,4509236359,IN,1600,2021/08/27,2021/08/25,,F9900SN,2021/08/27,,4509316950-00010
1006386947000060,2007545780,000060,F9900RF,4509248957,4509248957,IN,1000,2021/08/23,2021/08/18,,F9900RF,,,-
1006395097000010,2007554500,000010,F9300AF,4509259147,4509259147,IN,1400,2021/08/11,2021/08/18,,F9300AF,,,-
1006395097000050,2007554500,000050,F9920TS,4509259147,4509259147,IN,180,2021/08/18,2021/08/13,,F9920TS,,,-
1006395097000070,2007554500,000070,F9920BQ,4509259147,4509259147,IN,180,2021/08/25,2021/08/20,,F9920BQ,,,-
1006395097000090,2007554500,000090,F9920BN,4509259147,4509259147,IN,180,2021/08/25,2021/08/18,,F9920BN,,,-
1006395097000100,2007554500,000100,F9340EM,4509259147,4509259147,IN,16,2021/08/23,2021/08/18,,F9340EM,,,-
1006395097000120,2007554500,000120,F9920VS,4509259147,4509259147,IN,90,2021/08/23,2021/08/18,,F9920VS,,,-
1006395097000130,2007554500,000130,F9920LU,4509259147,4509259147,IN,60,2021/08/30,2021/08/18,,F9920LU,,,-
1006400956000010,2007564121,000010,F9341JE,4509266868,4509266868,IN,5000,2021/08/30,2021/08/18,,F9341JE,2021/08/09,,4509283018-00010
1006400956000020,2007564121,000020,F9341JD,4509266868,4509266868,IN,2000,2021/08/30,2021/09/01,,F9341JD,,,-
1006400956000030,2007564121,000030,F9341JA,4509266868,4509266868,IN,3000,2021/08/30,2021/08/18,,F9341JA,,,-
1006400956000040,2007564121,000040,F9340ND,4509266868,4509266868,IN,500,2021/09/06,2021/08/25,,F9340ND,,,-
1006400956000080,2007564121,000080,F9900GD,4509266868,4509266868,IN,100,2021/08/23,2021/08/13,,F9900GD,,,-
1006400956000120,2007564121,000120,F9920BQ,4509266868,4509266868,IN,180,2021/08/30,2021/08/25,,F9920BQ,,,-
1006400956000130,2007564121,000130,F9920BN,4509266868,4509266868,IN,180,2021/08/30,2021/08/20,,F9920BN,,,-
1006400956000150,2007564121,000150,F9920TS,4509266868,4509266868,IN,180,2021/08/23,2021/08/18,,F9920TS,,,-
1006400956000160,2007564121,000160,F9920TP,4509266868,4509266868,IN,180,2021/08/30,2021/08/27,,F9920TP,,,-
1006400956000170,2007564121,000170,G9303NC,4509266868,4509266868,IN,1000,2021/08/30,2021/08/18,,G9303NC,,,-
1006400956000190,2007564121,000190,F9900GE,4509266868,4509266868,IN,1000,2021/08/23,2021/09/01,,F9900GE,,,-
1006400956000210,2007564121,000210,F9341JS,4509266868,4509266868,IN,1000,2021/08/23,2021/08/18,,F9341JS,,,-
1006400956000260,2007564121,000260,F9921AH,4509266868,4509266868,IN,36,2021/08/30,2021/08/25,,F9921AH,,,-
1006404396000010,2007564043,000010,F9300TE,4509271442,4509271442,IN,960,2021/09/03,,,F9300TE,,,-
1006400956000290,2007564121,000290,F9920TX,4509266868,4509266868,IN,24,2021/08/25,2021/08/18,,F9920TX,,,-
1006400956000300,2007564121,000300,F9920LV,4509266868,4509266868,IN,240,2021/08/25,2021/08/25,,F9920LV,,,-
1006400956000310,2007564121,000310,F9920LV,4509266868,4509266868,IN,120,2021/08/25,2021/08/25,,F9920LV,,,-
1006404396000040,2007564043,000040,F9273CZ,4509271442,4509271442,IN,6000,2021/09/03,,,F9273CZ,,,-
1006419619000010,2007578856,000010,F9340SB,4509288954,4509288954,IN,700,2021/09/03,,,F9340SB,,,-
1006421924000010,2007580962,000010,F9342MK,4509292008,4509292008,IN,10000,2021/09/06,,,F9342MK,2021/09/27,,4509296825-00010
1006469582000190,2007626994,000160,F9300AF,4509346069,4509346069,IN,1400,2021/09/08,,,F9300AF,,,-
1006404396000060,2007564043,000060,F9900SF,4509271442,4509271442,IN,840,2021/09/13,2021/09/06,,F9900SF,,,-
1006404398000030,2007563968,000030,F9921AH,4509271443,4509271443,IN,36,2021/08/30,2021/08/25,,F9921AH,,,-
1006404398000040,2007563968,000040,F9921AH,4509271443,4509271443,IN,36,2021/08/30,2021/08/25,,F9921AH,,,-
1006404398000060,2007563968,000060,F9920BN,4509271443,4509271443,IN,180,2021/08/30,2021/08/25,,F9920BN,,,-
1006404398000070,2007563968,000070,F9920LU,4509271443,4509271443,IN,60,2021/09/08,2021/08/27,,F9920LU,,,-
1006404398000080,2007563968,000080,F9920LU,4509271443,4509271443,IN,60,2021/09/08,2021/09/01,,F9920LU,,,-
1006410415000020,2007570111,000020,F9900RE,4509278528,4509278528,IN,1000,2021/09/01,2021/08/25,,F9900RE,,,-
1006243043000040,2007405659,000040,D0114RB,4509073334,4509073334,IN,1000,2021/09/09,,,D0114RB,,,-
1006373095000040,2007531691,000040,F9275ED,4509232091,4509232091,IN,50,2021/09/09,,,F9275ED,,,-
1006400956000270,2007564121,000270,F9270HE,4509266868,4509266868,IN,50,2021/09/13,,,F9270HE,,,-
1006410416000010,2007570113,000010,C2047DE-11,4509278529,4509278529,IN,10,2021/08/25,2021/08/18,,C2047DE-11,,,-
1006458147000060,2007620076,000060,F9920LV,4509333684,4509333684,IN,240,2021/09/13,,,F9920LV,,,-
1006491660000050,2007651957,000050,F9300AF,4509373735,4509373735,IN,1400,2021/09/13,,,F9300AF,,,-
1006510747000010,2007667025,000010,D0114RZ,4509393736,4509393736,IN,600,2021/09/13,,,D0114RZ,,,-
1006410416000070,2007570113,000070,F9920VP,4509278529,4509278529,IN,36,2021/08/18,2021/08/13,,F9920VP,,,-
1006448047000020,2007605897,000020,F9270BK,4509322050,4509322050,IN,2000,2021/09/15,,,F9270BK,,,-
1006410416000090,2007570113,000090,F9921VF,4509278529,4509278529,IN,30,2021/08/25,2021/08/18,,F9921VF,,,-
1006410416000100,2007570113,000100,F9921VG,4509278529,4509278529,IN,30,2021/08/25,2021/08/18,,F9921VG,,,-
1006410416000110,2007570113,000110,F9920BX,4509278529,4509278529,IN,36,2021/09/09,2021/09/10,,F9920BX,,,-
1006411760000030,2007571489,000030,F9913SE,4509280015,4509280015,IN,60,2021/08/25,2021/08/13,,F9913SE,,,-
1006411760000050,2007571489,000050,F9900RS,4509280015,4509280015,IN,1000,2021/09/01,2021/08/25,,F9900RS,,,-
1006411760000060,2007571489,000060,F9341JS,4509280015,4509280015,IN,1000,2021/08/25,2021/08/18,,F9341JS,,,-
1006411760000070,2007571489,000070,F9340EM,4509280015,4509280015,IN,16,2021/08/31,2021/08/27,,F9340EM,,,-
1006411760000080,2007571489,000080,F9340EM,4509280015,4509280015,IN,16,2021/09/01,2021/08/27,,F9340EM,,,-
1006411760000090,2007571489,000090,F9920LV,4509280015,4509280015,IN,240,2021/08/25,2021/08/20,,F9920LV,,,-
1006411760000100,2007571489,000100,F9920LV,4509280015,4509280015,IN,120,2021/08/25,2021/08/18,,F9920LV,,,-
1006411760000120,2007571489,000120,G9330DB,4509280015,4509280015,IN,10000,2021/09/01,2021/08/27,,G9330DB,2021/08/29,,4509283338-00010
1006411760000130,2007571489,000130,F9920BN,4509280015,4509280015,IN,180,2021/09/01,2021/08/27,,F9920BN,,,-
1006415461000010,2007575302,000010,F9900EA,4509284547,4509284547,IN,6000,2021/09/09,2021/09/01,,F9900EA,2021/09/03,6000,4509290617-00010
1006415461000040,2007575302,000040,F9900RP,4509284547,4509284547,IN,6000,2021/08/19,2021/08/18,,F9900RP,2021/08/09,,4509290616-00010
1006415461000060,2007575302,000060,Y9812PS,4509284547,4509284547,IN,10000,2021/08/18,2021/08/13,,Y9812PS,2021/08/09,,4509290651-00010
1006469582000080,2007626994,000050,F9920VS,4509346069,4509346069,IN,90,2021/09/15,,,F9920VS,,,-
1006419619000030,2007578856,000030,F9921AH,4509288954,4509288954,IN,36,2021/09/03,2021/09/03,,F9921AH,,,-
1006419619000050,2007578856,000050,F9900BC,4509288954,4509288954,IN,1200,2021/08/18,2021/08/18,,F9900BC,,,-
1006469582000100,2007626994,000070,F9900GE,4509346069,4509346069,IN,1000,2021/09/15,,,F9900GE,,,-
1006469582000150,2007626994,000120,F9920TS,4509346069,4509346069,IN,180,2021/09/15,,,F9920TS,,,-
1006477662000030,2007636299,000030,F9920LV,4509354746,4509354746,IN,240,2021/09/15,,,F9920LV,,,-
1006421924000020,2007580962,000020,F9921TG,4509292008,4509292008,IN,90,2021/08/30,2021/08/18,,F9921TG,,,-
1006421924000030,2007580962,000030,F9921AH,4509292008,4509292008,IN,36,2021/09/06,2021/09/03,,F9921AH,,,-
1006421924000040,2007580962,000040,F9900AS,4509292008,4509292008,IN,200,2021/08/23,2021/08/13,,F9900AS,,,-
1006421924000050,2007580962,000050,F9900AS,4509292008,4509292008,IN,200,2021/08/23,2021/08/13,,F9900AS,,,-
1006421924000060,2007580962,000060,F9920LU,4509292008,4509292008,IN,60,2021/09/06,2021/09/01,,F9920LU,,,-
1006421924000070,2007580962,000070,F9913DA,4509292008,4509292008,IN,30,2021/08/18,2021/08/13,,F9913DA,,,-
1006427292000010,2007586391,000010,F9921TG,4509298204,4509298204,IN,90,2021/08/31,2021/08/25,,F9921TG,,,-
1006427292000020,2007586391,000020,F9920LV,4509298204,4509298204,IN,240,2021/08/31,2021/08/25,,F9920LV,,,-
1006427292000030,2007586391,000030,F9920LV,4509298204,4509298204,IN,120,2021/08/31,2021/08/25,,F9920LV,,,-
1006484418000020,2007643618,000020,F9920TS,4509362053,4509362053,IN,180,2021/09/15,,,F9920TS,,,-
1006427292000070,2007586391,000070,F9920BN,4509298204,4509298204,IN,180,2021/09/07,2021/08/27,,F9920BN,,,-
1006427292000080,2007586391,000080,F9920LU,4509298204,4509298204,IN,60,2021/09/07,2021/09/01,,F9920LU,,,-
1006427292000090,2007586391,000090,F9920TS,4509298204,4509298204,IN,180,2021/08/31,2021/08/25,,F9920TS,,,-
1006427292000100,2007586391,000100,G9303NC,4509298204,4509298204,IN,1000,2021/09/07,2021/09/03,,G9303NC,,,-
1006427292000110,2007586391,000110,F9900AS,4509298204,4509298204,IN,200,2021/08/24,2021/08/13,,F9900AS,,,-
1006427292000120,2007586391,000120,F9921AH,4509298204,4509298204,IN,36,2021/09/07,2021/09/03,,F9921AH,,,-
1006432533000010,2007591556,000010,F9913WJ,4509304386,4509304386,IN,16,2021/08/19,2021/08/13,,F9913WJ,,,-
1006432533000030,2007591556,000030,F9903CM,4509304386,4509304386,IN,50,2021/09/02,2021/09/08,,F9903CM,,,-
1006432533000040,2007591556,000040,F9903CZ,4509304386,4509304386,IN,50,2021/09/02,2021/09/08,,F9903CZ,,,-
1006432533000050,2007591556,000050,F9903BD,4509304386,4509304386,IN,50,2021/09/02,2021/09/08,,F9903BD,,,-
1006432533000060,2007591556,000060,F9300AF,4509304386,4509304386,IN,1400,2021/08/26,2021/09/01,,F9300AF,,,-
1006484418000050,2007643618,000050,F9920LV,4509362053,4509362053,IN,240,2021/09/15,,,F9920LV,,,-
1006432533000080,2007591556,000080,F9920BQ,4509304386,4509304386,IN,180,2021/09/09,2021/09/01,,F9920BQ,,,-
1006432533000090,2007591556,000090,F9920TP,4509304386,4509304386,IN,180,2021/08/26,2021/08/27,,F9920TP,,,-
1006432533000100,2007591556,000100,D0114RB,4509304386,4509304386,IN,1000,2021/09/02,2021/09/10,,D0114RB,,,-
1006432533000110,2007591556,000110,F9900GE,4509304386,4509304386,IN,1000,2021/09/02,2021/09/03,,F9900GE,,,-
1006436888000010,2007595709,000010,F9920BN,4509309681,4509309681,IN,180,2021/09/02,2021/09/01,,F9920BN,,,-
1006436888000020,2007595709,000020,F9900RR,4509309681,4509309681,IN,500,2021/08/27,2021/09/08,,F9900RR,,,-
1006436888000030,2007595709,000030,F9940WJ,4509309681,4509309681,IN,100,2021/08/27,2021/08/25,,F9940WJ,,,-
1006436888000040,2007595709,000040,F9275ZZ,4509309681,4509309681,IN,50,2021/09/03,2021/09/01,,F9275ZZ,,,-
1006436888000050,2007595709,000050,F9275EG,4509309681,4509309681,IN,50,2021/08/31,2021/08/20,,F9275EG,,,-
1006436888000060,2007595709,000060,F9275EF,4509309681,4509309681,IN,50,2021/08/25,2021/08/25,,F9275EF,,,-
1006436888000070,2007595709,000070,F9340WX,4509309681,4509309681,IN,5,2021/09/17,2021/09/08,,F9340WX,,,-
1006436888000080,2007595709,000080,F9275ED,4509309681,4509309681,IN,50,2021/08/25,2021/09/01,,F9275ED,,,-
1006436888000110,2007595709,000110,F9900AS,4509309681,4509309681,IN,200,2021/08/19,2021/08/13,,F9900AS,,,-
1006436888000130,2007595709,000130,F9900RE,4509309681,4509309681,IN,1000,2021/08/30,2021/08/25,,F9900RE,,,-
1006369090000210,2007527543,000210,A1462CC,4509226919,4509226919,IN,10800,2021/09/16,,,A1462CC,2021/11/16,10800,4509316888-00010
1006454433000040,2007611823,000040,F9900SF,4509328988,4509328988,IN,210,2021/09/16,,,F9900SF,,,-
1006488791000080,2007647811,000080,F9920TS,4509367681,4509367681,IN,180,2021/09/16,,,F9920TS,,,-
1006436888000180,2007595709,000180,F9900GZ,4509309681,4509309681,IN,28000,2021/09/10,2021/09/01,,F9900GZ,2021/09/06,28000,4509317133-00010
