Plant,Plant Description,Storage Location,Storage Location Description,Material Number,MS Code,Material Description,Sales Document,Sales Document Item,Linkage Number,Stock Quantity,Unit,Serial Number,Stock Amount
2Q00,YIL,2002,Line-side Transm,F9913MB,,BOLT,,0,,106,ST,,11.80
2Q00,YIL,2002,Line-side Transm,F9913MA,,SCREW,,0,,97,ST,,2.95
2Q00,YIL,2002,Line-side Transm,F9913KA,,METER COVER ASSY,,0,,12,ST,,"1,004.80"
2Q00,YIL,2002,Line-side Transm,F9913JZ,,METER COVER,,0,,38,ST,,"1,245.13"
2Q00,YIL,2002,Line-side Transm,F9913JS,,METER COVER,,0,,79,ST,,889.06
2Q00,YIL,2002,Line-side Transm,F9913JA,,COVER ASSY,,0,,582,ST,,622.93
2Q00,YIL,2002,Line-side Transm,F9913GS,,METER COVER ASSY,,0,,13,ST,,876.53
2Q00,YIL,2002,Line-side Transm,F9913GA,,METER COVER ASSY,,0,,20,ST,,710.66
2Q00,YIL,2002,Line-side Transm,F9913CA,,TERMINAL COVER,,0,,19,ST,,372.29
2Q00,YIL,2002,Line-side Transm,F9910LS,,TERMINAL ASSY,,0,,496,ST,,65.61
2Q00,YIL,2002,Line-side Transm,F9910LE,,O-RING,,0,,514,ST,,6.63
2Q00,YIL,2002,Line-side Transm,F9900UB,,FLANGE,,0,,8,ST,,"1,432.39"
2Q00,YIL,2002,Line-side Transm,F9900TM,,COVER FLANGE (FOR 3RD PARTY'S DFS),,0,,47,ST,,"1,512.73"
2Q00,YIL,2002,Line-side Transm,F9900TL,,FLANGE,,0,,3,ST,,"1,317.37"
2Q00,YIL,2002,Line-side Transm,F9900TH,,FLANGE,,0,,9,ST,,"1,058.62"
2Q00,YIL,2002,Line-side Transm,F9900TE,,FLANGE,,0,,17,ST,,"1,280.52"
2Q00,YIL,2002,Line-side Transm,F9900TD,,FLANGE,,0,,10,ST,,"1,263.57"
2Q00,YIL,2002,Line-side Transm,F9900TB,,FLANGE,,0,,183,ST,,"1,069.68"
2Q00,YIL,2002,Line-side Transm,F9900SN,,U-BOLT ASSY,,0,,185,ST,,100.25
2Q00,YIL,2002,Line-side Transm,F9900SK,,U-BOLT ASSY,,0,,171,ST,,57.51
2Q00,YIL,2002,Line-side Transm,F9900SH,,BOLT,,0,,132,ST,,24.32
2Q00,YIL,2002,Line-side Transm,F9900SG,,SCREW,,0,,19,ST,,46.44
2Q00,YIL,2002,Line-side Transm,F9900SF,,BRACKET,,0,,88,ST,,402.52
