Plant,Plant Description,Storage Location,Storage Location Description,Material Number,MS Code,Material Description,Sales Document,Sales Document Item,Linkage Number,Stock Quantity,Unit,Serial Number,Stock Amount
2Q00,YIL,2002,Line-side Transm,F9913MB,,BOLT,,0,,106,ST,,11.86
2Q00,YIL,2002,Line-side Transm,F9913MA,,SCREW,,0,,65,ST,,2.96
2Q00,YIL,2002,Line-side Transm,F9913KA,,METER COVER ASSY,,0,,28,ST,,"1,010.29"
2Q00,YIL,2002,Line-side Transm,F9913JZ,,METER COVER,,0,,32,ST,,"1,251.93"
2Q00,YIL,2002,Line-side Transm,F9913JA,,COVER ASSY,,0,,218,ST,,626.34
2Q00,YIL,2002,Line-side Transm,F9913GS,,METER COVER ASSY,,0,,13,ST,,881.32
2Q00,YIL,2002,Line-side Transm,F9913GA,,METER COVER ASSY,,0,,48,ST,,714.55
2Q00,YIL,2002,Line-side Transm,F9913CA,,TERMINAL COVER,,0,,58,ST,,374.32
2Q00,YIL,2002,Line-side Transm,F9910LS,,TERMINAL ASSY,,0,,443,ST,,65.96
2Q00,YIL,2002,Line-side Transm,F9910LE,,O-RING,,0,,556,ST,,6.67
2Q00,YIL,2002,Line-side Transm,F9903CZ,,PLUG,,0,,8,ST,,191.97
2Q00,YIL,2002,Line-side Transm,F9900UB,,FLANGE,,0,,6,ST,,"1,440.20"
2Q00,YIL,2002,Line-side Transm,F9900TM,,COVER FLANGE (FOR 3RD PARTY'S DFS),,0,,108,ST,,"1,521.00"
2Q00,YIL,2002,Line-side Transm,F9900TL,,FLANGE,,0,,3,ST,,"1,324.56"
2Q00,YIL,2002,Line-side Transm,F9900TH,,FLANGE,,0,,4,ST,,"1,064.40"
2Q00,YIL,2002,Line-side Transm,F9900TE,,FLANGE,,0,,49,ST,,"1,287.51"
2Q00,YIL,2002,Line-side Transm,F9900TD,,FLANGE,,0,,8,ST,,"1,270.46"
2Q00,YIL,2002,Line-side Transm,F9900TB,,FLANGE,,0,,378,ST,,"1,075.52"
