Discrete,Entry Month,Sales Office,DATE OF CREATION (mm/dd/yyyy),Order Category,INDENT / ORD PRO. ID,SAP Entry ,CUSTOMER,SO NO (FAK),YGSP SO NO,SO item No.,MODEL CODE,QTY,SO BASIC VALUE,CDD (mm/dd/yyyy),BASE MODEL,CAP. MOD,WET. Part,CAP. CATG,B/O O R,SEAL Reqt.,SEAL Vendor,M+TT,TRADING FOB,PAYMENT TYPE,INSPN,CDD WEEK,LD Clause,MC DATE (mm/dd/yyyy),Matl Req DATE (mm/dd/yyyy),.,Billing Month,Part. del. Accept,BASE,Protocol,CAP. Mod,Wet. Part,P-Connect,C-Bolt,Install.,Amp-Hous.,Ele.,IND,Mount,OPTIONS,Tokuchu,"LM Tokuchu 
(Yes / No) ",Parts Avail. Date  (mm/dd/yyyy),LM Readiness Date,MFG Status,"SCH. Date
(mm/dd/yyyy)",FG date   (mm/dd/yyyy),FG Material Status,DESP Date,DESP Month,Remarks,END USER,END USER CODE,Seal Rediness Date,Seal MC Remarks,Consolidate,RON / PL,TOKUCHU No.,Nov-21,OPD,PPMG Plan,,
PPMG,Mar-20,Mumbai,3/4/2020,BL,25804,YES,TATA PROJECTS LIMITED,PMB20M0111,2006478277,"10, 20, 30, 40, 50, 60, 90, 100, 110, 120, 130, 1850, 1860, 1870",EJA110E-JMS5G-922EB/KU22/M01,14," 440,994.82 ",4/30/2020,EJA110E,M,S,Std,,N,-,M+T,8/21/2020,CREDIT,YES,18,Y,,,,1/31/2022,,EJA110E,J,M,S,5,G,9,2,2,E,B,/KU22/M01,-,,4/13/2020,4/15/2020,MC awtd,,,,,,,TATA PROJECTS LIMITED,200302564,,,,Vidish Sharma K,,12/31/2021,Dec-21,1/1/2022,1/1/2022,
PPMG,Mar-20,Mumbai,3/4/2020,BL,25804,YES,TATA PROJECTS LIMITED,PMB20M0111,2006478277,"210, 220, 230, 240, 250, 260, 270, 280, 290, 300, 310, 320, 330, 340, 350, 360, 370, 380, 390, 400, 410, 420, 430, 440, 450, 460, 470, 480, 490, 500, 510, 520, 530, 570, 580, 590, 600, 610, 620, 630, 640, 650, 660, 670, 680, 690, 700, 710, 720, 730, 740, 750, 760, 880, 890, 900, 910, 1210, 1220, 1360, 1370, 1380, 1390, 1480, 1890, 1900",EJA530E-JBS7N-022EL/KU22/M15,66," 1,750,041.90 ",4/30/2020,EJA530E,B,S,Std,,N,-,M+T,8/21/2020,CREDIT,YES,18,Y,,,,1/31/2022,,EJA530E,J,B,S,7,N,0,2,2,E,L,/KU22/M15,-,,4/13/2020,4/15/2020,MC awtd,,,,,,,TATA PROJECTS LIMITED,200302564,,,,Vidish Sharma K,,12/31/2021,Dec-21,1/1/2022,1/1/2022,
PPMG,Mar-20,Mumbai,3/4/2020,BL,25804,YES,TATA PROJECTS LIMITED,PMB20M0111,2006478277,"540, 550, 560, 770, 780, 790, 1010, 1020, 1030, 1040",EJA530E-JDS7N-022EL/KU22/M15,10," 268,021.50 ",4/30/2020,EJA530E,D,S,Std,,N,-,M+T,8/21/2020,CREDIT,YES,18,Y,,,,1/31/2022,,EJA530E,J,D,S,7,N,0,2,2,E,L,/KU22/M15,-,,4/13/2020,4/15/2020,MC awtd,,,,,,,TATA PROJECTS LIMITED,200302564,,,,Vidish Sharma K,,12/31/2021,Dec-21,1/1/2022,1/1/2022,
PPMG,Mar-20,Mumbai,3/4/2020,BL,25804,YES,TATA PROJECTS LIMITED,PMB20M0111,2006478277,"800, 810, 1230, 1240",EJA530E-JAS7N-022EL/KU22/M15,4," 107,208.60 ",4/30/2020,EJA530E,A,S,Std,,N,-,M+T,8/21/2020,CREDIT,YES,18,Y,,,,1/31/2022,,EJA530E,J,A,S,7,N,0,2,2,E,L,/KU22/M15,-,,4/13/2020,4/15/2020,MC awtd,,,,,,,TATA PROJECTS LIMITED,200302564,,,,Vidish Sharma K,,12/31/2021,Dec-21,1/1/2022,1/1/2022,
PPMG,Mar-20,Mumbai,3/4/2020,BL,25804,YES,TATA PROJECTS LIMITED,PMB20M0111,2006478277,"920, 930, 940, 950, 960, 970, 980, 990, 1000",EJA530E-JCS7N-022EL/KU22/M15,9," 241,219.35 ",4/30/2020,EJA530E,C,S,Std,,N,-,M+T,8/21/2020,CREDIT,YES,18,Y,,,,1/31/2022,,EJA530E,J,C,S,7,N,0,2,2,E,L,/KU22/M15,-,,4/13/2020,4/15/2020,MC awtd,,,,,,,TATA PROJECTS LIMITED,200302564,,,,Vidish Sharma K,,12/31/2021,Dec-21,1/1/2022,1/1/2022,
PPMG,Mar-20,Mumbai,3/4/2020,BL,25804,YES,TATA PROJECTS LIMITED,PMB20M0111,2006478277,"1350, 1400, 1410, 1420, 1430, 1440, 1450, 1460, 1470",EJA530E-JAS7N-022EN/KU22/M15,9," 237,005.82 ",4/30/2020,EJA530E,A,S,Std,,N,-,M+T,8/21/2020,CREDIT,YES,18,Y,,,,1/31/2022,,EJA530E,J,A,S,7,N,0,2,2,E,N,/KU22/M15,-,,4/13/2020,4/15/2020,MC awtd,,,,,,,TATA PROJECTS LIMITED,200302564,,,,Vidish Sharma K,,12/31/2021,Dec-21,1/1/2022,1/1/2022,
PPMG,Mar-20,Mumbai,3/4/2020,BL,25804,YES,TATA PROJECTS LIMITED,PMB20M0111,2006478277,"5050, 5060, 5070, 5080, 5250, 5490, 5930, 5940, 5950, 5960, 5970, 5980",EJA530E-JBS7N-022EL/KU22,12," 431,684.76 ",4/30/2020,EJA530E,B,S,Std,,Y,WIKA,M+T,8/21/2020,CREDIT,YES,18,Y,,,,12/31/2021,,EJA530E,J,B,S,7,N,0,2,2,E,L,/KU22,-,,4/13/2020,4/15/2020,MC awtd,,,,,,,TATA PROJECTS LIMITED,200302564,,,,Vidish Sharma K,,11/30/2021,Dec-21,1/1/2022,1/1/2022,
PPMG,Mar-20,Bangalore,3/31/2020,BL,23923,YES,MITSUBISHI HITACHI POWER SYSTEMS INDIA PVT LTD,PLB2M00083-1,2006556768,,EJA110E-FHS4J-912DB/D4,5, -   ,10/31/2020,EJA110E,H,S,Std,,N,-,M+T,10/16/2020,CREDIT,YES,44,Y,,,,1/31/2022,,EJA110E,F,H,S,4,J,9,1,2,D,B,/D4,-,,8/2/2021,8/4/2021,MC awtd,,,,,,,MITSUBISHI HITACHI POWER SYSTEMS INDIA PVT LTD,200301183,,,Oct-20,Hari Shankar K,,12/31/2021,Dec-21,1/1/2022,1/1/2022,
PPMG,Mar-20,Bangalore,3/31/2020,BL,23923,YES,MITSUBISHI HITACHI POWER SYSTEMS INDIA PVT LTD,PLB2M00083-1,2006556768,,EJA110E-FHS4J-912DN/D4,6, -   ,10/31/2020,EJA110E,H,S,Std,,N,-,M+T,10/16/2020,CREDIT,YES,44,Y,,,,1/31/2022,,EJA110E,F,H,S,4,J,9,1,2,D,N,/D4,-,,8/2/2021,8/4/2021,MC awtd,,,,,,,MITSUBISHI HITACHI POWER SYSTEMS INDIA PVT LTD,200301183,,,Oct-20,Hari Shankar K,,12/31/2021,Dec-21,1/1/2022,1/1/2022,
PPMG,Mar-20,Bangalore,3/31/2020,BL,23923,YES,MITSUBISHI HITACHI POWER SYSTEMS INDIA PVT LTD,PLB2M00083-1,2006556768,,EJA110E-FMS4J-912DB/D4,45, -   ,10/31/2020,EJA110E,M,S,Std,,N,-,M+T,10/16/2020,CREDIT,YES,44,Y,,,,1/31/2022,,EJA110E,F,M,S,4,J,9,1,2,D,B,/D4,-,,8/2/2021,8/4/2021,MC awtd,,,,,,,MITSUBISHI HITACHI POWER SYSTEMS INDIA PVT LTD,200301183,,,Oct-20,Hari Shankar K,,12/31/2021,Dec-21,1/1/2022,1/1/2022,
