SAP Linkage No,Sales Order No,Sales Order Item No,Model,P/O  No.,"Customer's
P/O No.","End user
Country
Code",Qty,"Estimated
FOB","YHQ
Sales
Date",Remarks,MS Code,"Acknowledgment
Ex-Uenohara","Qty
Ex-Uenohara",YMG's Note
1006410415000080,2007570111,000080,C2051FD-21,4509278528,4509278528,IN,1,2022/01/14,2021/12/28,,C2051FD-21,,,-
1006555513000120,2007711642,000120,F9273CZ,4509449294,4509449294,IN,3000,2021/12/23,2021/12/15,,F9273CZ,2021/12/17,,4509627470-00010
1006565451000070,2007722253,000070,F9299ZZ,4509461935,4509461935,IN,5,2021/12/13,2021/12/08,,F9299ZZ,,,-
1006608174000020,2007767905,000020,F9342MK,4509513634,4509513634,IN,10000,2021/12/13,2021/12/10,,F9342MK,2021/12/12,,4509515060-00010
1006622878000080,2007779920,000080,F9920TP,4509527664,4509527664,IN,180,2021/12/23,2021/12/22,,F9920TP,,,-
1006629895000040,2007787375,000040,F9920TP,4509537450,4509537450,IN,180,2021/12/10,2021/12/22,,F9920TP,,,-
1006632979000060,2007790314,000060,F9920TP,4509541264,4509541264,IN,180,2021/12/14,2021/12/22,,F9920TP,,,-
1006633302000140,2007790696,000140,F9900TM,4509541688,4509541688,IN,144,2021/12/10,2021/12/29,,F9900TM,,,-
1006633302000150,2007790696,000150,F9900TM,4509541688,4509541688,IN,144,2021/12/17,2021/12/29,,F9900TM,,,-
1006633302000160,2007790696,000160,F9900TM,4509541688,4509541688,IN,144,2021/12/24,,,F9900TM,,,-
1006633302000170,2007790696,000170,F9900TM,4509541688,4509541688,IN,144,2021/12/16,2021/12/15,,F9900TM,,,-
1006633302000180,2007790696,000180,F9900TM,4509541688,4509541688,IN,144,2022/01/07,2021/12/24,,F9900TM,,,-
1006659798000050,2007817322,000050,F9921AH,4509576059,4509576059,IN,72,2021/12/10,2021/12/08,,F9921AH,,,-
1006659798000060,2007817322,000060,F9921AH,4509576059,4509576059,IN,72,2021/12/08,2021/12/03,,F9921AH,,,-
1006659798000070,2007817322,000070,F9921AH,4509576059,4509576059,IN,72,2021/12/10,2021/12/08,,F9921AH,,,-
1006659798000080,2007817322,000080,F9921AH,4509576059,4509576059,IN,72,2021/12/10,2021/12/08,,F9921AH,,,-
1006659798000090,2007817322,000090,F9921AH,4509576059,4509576059,IN,72,2021/12/10,2021/12/08,,F9921AH,,,-
1006659798000100,2007817322,000100,F9921AH,4509576059,4509576059,IN,72,2021/12/20,2021/12/08,,F9921AH,,,-
1006659798000110,2007817322,000110,F9921AH,4509576059,4509576059,IN,72,2021/12/20,2021/12/08,,F9921AH,,,-
1006659798000120,2007817322,000120,F9921AH,4509576059,4509576059,IN,72,2021/12/20,2021/12/08,,F9921AH,,,-
1006659798000360,2007817322,000220,F9920VS,4509576059,4509576059,IN,90,2021/12/13,2021/12/24,,F9920VS,,,-
1006659798000370,2007817322,000230,F9920VS,4509576059,4509576059,IN,90,2021/12/13,2021/12/24,,F9920VS,,,-
1006659798000380,2007817322,000240,F9920VS,4509576059,4509576059,IN,90,2021/12/13,2021/12/24,,F9920VS,,,-
1006659798000390,2007817322,000250,F9920VS,4509576059,4509576059,IN,90,2021/12/13,2021/12/24,,F9920VS,,,-
1006659798000400,2007817322,000260,F9920VS,4509576059,4509576059,IN,90,2021/12/13,2021/12/24,,F9920VS,,,-
1006659798000410,2007817322,000270,F9920VS,4509576059,4509576059,IN,90,2022/01/21,,,F9920VS,,,-
