SAP Linkage No,yhq Sales Order No,yhq Sales Order Item No,Order Type,Model,Qty,QIC Delivery Style,"Contractor
Corporate
ID",P/O  No.,"Customer's
P/O No.","Delivery
Customer
Id","End user
Country
Code","Estimated
FOB","yhq
Sales
Date
(On or about
Ship date)",Remarks,Ship Point,MS Code,Production Center,"Ship Point 
(ship from 
factory)",Order No,Item No,"Start
Manufacturing
Date","Instructed
Complete
Date","Complete
Date",Actual Date,"Current
Status"
1.01E+15,2007014539,10,Y101,SS2CPMLM,1,,L2Q00,4508528489,4508528489,C2Q00012,IN,10/30/2020,,,1022,SS2CPMLM-V1101-S1001,,,,,,10/23/2020,,,
1.01E+15,2007018867,20,Y101,LS1SN001,3,,L2Q00,4508534417,4508534417,C2Q00012,IN,11/16/2020,,,1092,LS1SN001-E01/AV,,,,,,11/16/2020,,,
1.01E+15,2007031442,10,Y101,SS2CPMLM,1,,L2Q00,4508552189,4508552189,C2Q00012,IN,11/4/2020,,,1022,SS2CPMLM-V1101-S1001,,,,,,10/27/2020,,,
1.01E+15,2007031443,10,Y101,SS2CPMLM,1,,L2Q00,4508552290,4508552290,C2Q00012,IN,11/4/2020,,,1022,SS2CPMLM-V1101-S1001,,,,,,10/27/2020,,,
1.01E+15,2007033450,10,Y101,SS2CPMLM,1,,L2Q00,4508555124,4508555124,C2Q00012,IN,11/4/2020,,,1022,SS2CPMLM-V1101-S1001,,,,,,10/27/2020,,,
1.01E+15,2007262075,180,Y101,LS1SN001,4,,L2Q00,4508857864,4508857864,C2Q00012,IN,8/11/2021,10/8/2021,,1092,LS1SN001-E01/AV,,,,,,8/11/2021,,10/8/2021,
1.01E+15,2007317551,10,Y101,YTA610,2,B,L2Q00,4508929428,4508929428,200088502,IN,6/9/2021,10/22/2021,,1023,YTA610-JA2A4DK/A/X2/C2/N4/KU2/SG,,,,,,5/11/2021,,9/29/2021,
1.01E+15,2007317551,50,Y101,YFGW410,6,A,L2Q00,4508929428,4508929428,200088502,IN,5/31/2021,12/13/2021,,1023,YFGW410-A-C10D1AA/KN27,,,,,,5/17/2021,,11/17/2021,
1.01E+15,2007317551,80,Y101,YTA510,7,B,L2Q00,4508929428,4508929428,200088502,IN,5/24/2021,12/13/2021,,1023,YTA510-L8DDKAA/X2/KS27,,,,,,4/21/2021,,11/17/2021,
1.01E+15,2007342421,10,Y101,GP1SY,1,,L2Q00,4508957163,4508957163,C2Q00012,IN,5/17/2021,,,1009,GP1SY-01XX210W1016E,,,,,,5/10/2021,,,
1.01E+15,2007317551,110,Y101,EJX530A,20,B,L2Q00,4508929428,4508929428,200088502,IN,6/7/2021,10/22/2021,,1023,EJX530A-JDH4N-03DDL/KU22/D3/X2/A/C2/T08/N4/MA2,,,,,,5/17/2021,,9/29/2021,
1.01E+15,2007317551,120,Y101,EJX530A,18,B,L2Q00,4508929428,4508929428,200088502,IN,6/7/2021,10/22/2021,,1023,EJX530A-JDH4N-03DDL/KU22/D3/X2/A/C2/T08/N4/MA2,,,,,,5/17/2021,,9/29/2021,
1.01E+15,2007317551,130,Y101,EJX530A,18,B,L2Q00,4508929428,4508929428,200088502,IN,6/7/2021,10/22/2021,,1023,EJX530A-JDH4N-03DDL/KU22/D3/X2/A/C2/T08/N4/MA2,,,,,,5/17/2021,,9/29/2021,
1.01E+15,2007317551,140,Y101,EJX530A,20,B,L2Q00,4508929428,4508929428,200088502,IN,6/7/2021,10/22/2021,,1023,EJX530A-JDH4N-03DDL/KU22/D3/X2/A/C2/T08/N4/MA2,,,,,,5/17/2021,,9/29/2021,
1.01E+15,2007317551,150,Y101,EJX530A,20,B,L2Q00,4508929428,4508929428,200088502,IN,6/7/2021,10/22/2021,,1023,EJX530A-JDH4N-03DDL/KU22/D3/X2/A/C2/T08/N4/MA2,,,,,,5/17/2021,,9/29/2021,
1.01E+15,2007317551,160,Y101,EJX530A,18,B,L2Q00,4508929428,4508929428,200088502,IN,6/7/2021,10/22/2021,,1023,EJX530A-JDH4N-03DDL/KU22/D3/X2/A/C2/T08/N4/MA2,,,,,,5/17/2021,,9/29/2021,
1.01E+15,2007317551,210,Y101,EJX530A,12,B,L2Q00,4508929428,4508929428,200088502,IN,7/8/2021,10/22/2021,,1023,EJX530A-JDH4N-03DDL/KU22/D3/X2/A/C2/T08/N4/MA2,,,,,,6/17/2021,,9/29/2021,
1.01E+15,2007441431,30,Y101,LS1SN001,6,,L2Q00,4509117143,4509117143,C2Q00012,IN,6/15/2021,,,1092,LS1SN001-E01/AV,,,,,,6/15/2021,,,
1.01E+15,2007441431,60,Y101,LS1SR001,6,,L2Q00,4509117143,4509117143,C2Q00012,IN,6/15/2021,,,1092,LS1SR001-E01/AV,,,,,,6/15/2021,,,
1.01E+15,2007317551,220,Y101,YTA510,8,B,L2Q00,4508929428,4508929428,200088502,IN,9/6/2021,12/13/2021,,1023,YTA510-L9DDKAA/X2/KS27,,,,,,8/16/2021,,11/17/2021,
1.01E+15,2007317551,230,Y101,YFGW520,6,B,L2Q00,4508929428,4508929428,200088502,IN,9/6/2021,12/13/2021,,1023,YFGW520-A114A-S10KANNAA/X2/KF27,,,,,,8/16/2021,,11/17/2021,
1.01E+15,2007317551,240,Y101,YTMXBP,8,,L2Q00,4508929428,4508929428,200088502,IN,8/13/2021,12/13/2021,,1023,YTMXBP-C7,,,,,,7/13/2021,,11/17/2021,
1.01E+15,2007317551,280,Y101,DOCQCB,1,,L2Q00,4508929428,4508929428,200088502,IN,7/30/2021,,,1022,DOCQCB-EN,,,,,,7/14/2021,,,
1.01E+15,2007317551,290,Y101,EJX530B,20,B,L2Q00,4508929428,4508929428,200088502,IN,8/13/2021,12/13/2021,,1023,EJX530B-LDH4N-08JDF/KS27/D3/X2/T08/M15,,,,,,7/13/2021,,11/17/2021,
1.01E+15,2007317551,300,Y101,EJX530B,3,B,L2Q00,4508929428,4508929428,200088502,IN,8/13/2021,12/13/2021,,1023,EJX530B-LDH4N-08JDF/KS27/D3/X2/T08/M15,,,,,,7/13/2021,,11/17/2021,
1.01E+15,2007317551,320,Y101,CO1000,1,,L2Q00,4508929428,4508929428,C2Q00012,IN,11/15/2021,,,1092,CO1000,,,,,,6/8/2021,,,
1.01E+15,2007317551,340,Y101,F9915KU,10,,L2Q00,4508929428,4508929428,200088502,IN,7/9/2021,12/13/2021,,1023,F9915KU,,,,,,6/17/2021,,11/17/2021,
1.01E+15,2007317551,350,Y101,F9915KU,4,,L2Q00,4508929428,4508929428,200088502,IN,7/9/2021,12/13/2021,,1023,F9915KU,,,,,,6/16/2021,,11/17/2021,
1.01E+15,2007317551,360,Y101,F9195VG,10,,L2Q00,4508929428,4508929428,200088502,IN,7/9/2021,12/13/2021,,1023,F9195VG,,,,,,6/21/2021,,11/17/2021,
