Plant,Plant Description,Storage Location,Storage Location Description,Material Number,MS Code,Material Description,Sales Document,Sales Document Item,Linkage Number,Stock Quantity,Unit,Serial Number,Stock Amount
2Q00,YIL,2002,Line-side Transm,F9913KA,,METER COVER ASSY,,0,,27,ST,,"1,109.76"
2Q00,YIL,2002,Line-side Transm,F9913JZ,,METER COVER,,0,,83,ST,,"1,375.20"
2Q00,YIL,2002,Line-side Transm,F9913JX,,METER COVER,,0,,4,ST,,942.85
2Q00,YIL,2002,Line-side Transm,F9913JS,,METER COVER,,0,,34,ST,,981.94
2Q00,YIL,2002,Line-side Transm,F9913JA,,COVER ASSY,,0,,"2,334",ST,,688
2Q00,YIL,2002,Line-side Transm,F9913GS,,METER COVER ASSY,,0,,13,ST,,968.1
2Q00,YIL,2002,Line-side Transm,F9913GA,,METER COVER ASSY,,0,,6,ST,,784.9
2Q00,YIL,2002,Line-side Transm,F9913CA,,TERMINAL COVER,,0,,25,ST,,411.17
2Q00,YIL,2002,Line-side Transm,F9910LS,,TERMINAL ASSY,,0,,509,ST,,72.46
2Q00,YIL,2002,Line-side Transm,F9910LE,,O-RING,,0,,374,ST,,7.33
2Q00,YIL,2002,Line-side Transm,F9900UB,,FLANGE,,0,,6,ST,,"1,582.00"
2Q00,YIL,2002,Line-side Transm,F9900TY,,FLANGE,,0,,9,ST,,"1,179.79"
2Q00,YIL,2002,Line-side Transm,F9900TM,,COVER FLANGE (FOR 3RD PARTY'S DFS),,0,,38,ST,,"1,670.75"
2Q00,YIL,2002,Line-side Transm,F9900TL,,FLANGE,,0,,3,ST,,"1,454.98"
2Q00,YIL,2002,Line-side Transm,F9900TH,,FLANGE,,0,,5,ST,,"1,169.20"
2Q00,YIL,2002,Line-side Transm,F9900TE,,FLANGE,,0,,72,ST,,"1,414.28"
2Q00,YIL,2002,Line-side Transm,F9900TD,,FLANGE,,0,,9,ST,,"1,395.56"
2Q00,YIL,2002,Line-side Transm,F9900TB,,FLANGE,,0,,280,ST,,"1,181.42"
2Q00,YIL,2002,Line-side Transm,F9900SN,,U-BOLT ASSY,,0,,127,ST,,110.74
2Q00,YIL,2002,Line-side Transm,F9900SK,,U-BOLT ASSY,,0,,108,ST,,63.51
2Q00,YIL,2002,Line-side Transm,F9900SH,,BOLT,,0,,531,ST,,26.87
2Q00,YIL,2002,Line-side Transm,F9900SG,,SCREW,,0,,40,ST,,51.29
2Q00,YIL,2002,Line-side Transm,F9900SF,,BRACKET,,0,,124,ST,,444.55
2Q00,YIL,2002,Line-side Transm,F9900SD,,BRACKET,,0,,12,ST,,577.28
2Q00,YIL,2002,Line-side Transm,F9900SB,,BRACKET,,0,,11,ST,,765.36
2Q00,YIL,2002,Line-side Transm,F9900RS,,PLATE,,0,,495,ST,,18.72
2Q00,YIL,2002,Line-side Transm,F9900RR,,TAPPING SCREW,,0,,628,ST,,1.63
2Q00,YIL,2002,Line-side Transm,F9900RP,,BOLT,,0,,653,ST,,3.26
2Q00,YIL,2002,Line-side Transm,F9900RM,,NAME PLATE,,0,,152,ST,,18.72
2Q00,YIL,2002,Line-side Transm,F9900RL,,SHAFT,,0,,102,ST,,71.65
2Q00,YIL,2002,Line-side Transm,F9900RJ,,BOLT,,0,,664,ST,,5.7
2Q00,YIL,2002,Line-side Transm,F9900RH,,SCREW,,0,,40,ST,,8.14
2Q00,YIL,2002,Line-side Transm,F9900RG,,TAPPING SCREW,,0,,"2,854",ST,,0.81
2Q00,YIL,2002,Line-side Transm,F9900RF,,TAG PLATE,,0,,479,ST,,14.65
2Q00,YIL,2002,Line-side Transm,F9900RE,,TAG PLATE,,0,,468,ST,,14.65
2Q00,YIL,2002,Line-side Transm,F9900MK,,LABEL,,0,,25,ST,,17.91
2Q00,YIL,2002,Line-side Transm,F9900GZ,,CREW,,0,,"3,694",ST,,1.63
2Q00,YIL,2002,Line-side Transm,F9913MA,,SCREW,,0,,81,ST,,3.26
2Q00,YIL,2002,Line-side Transm,Y9812PS,,PIN,,0,,"3,073",ST,,0.81
2Q00,YIL,2002,Line-side Transm,Y9501WL,,WASHER,,0,,917,ST,,0.81
2Q00,YIL,2002,Line-side Transm,Y9400ET,,RET RING,,0,,46,ST,,0.84
2Q00,YIL,2002,Line-side Transm,Y9308JY,,SCREW,,0,,"5,796",ST,,0.81
2Q00,YIL,2002,Line-side Transm,X9947QF,,796A981 CAP,,0,,9,ST,,9.77
2Q00,YIL,2002,Line-side Transm,G9330DB,,PLUG RED,,0,,"1,435",ST,,1.63
2Q00,YIL,2002,Line-side Transm,G9330CB,,PLUG (CAP),,0,,56,ST,,6.51
2Q00,YIL,2002,Line-side Transm,G9303NC,,O-RING,,0,,912,ST,,0.81
2Q00,YIL,2002,Line-side Transm,F9940WJ,,SCREW,,0,,35,ST,,15.47
2Q00,YIL,2002,Line-side Transm,F9940WG,,HOOK,,0,,110,ST,,15.47
2Q00,YIL,2002,Line-side Transm,F9940WF,,PIPE ASSY,,0,,367,ST,,39.89
2Q00,YIL,2002,Line-side Transm,F9921VG,,LPT ASSY,,0,,27,ST,,863.06
2Q00,YIL,2002,Line-side Transm,F9921VF,,LPT ASSY,,0,,8,ST,,"1,249.81"
2Q00,YIL,2002,Line-side Transm,F9921TG,,TERMINAL ASSY,,0,,52,ST,,718.12
2Q00,YIL,2002,Line-side Transm,F9921TF,,TERMINAL ASSY,,0,,18,ST,,"1,041.37"
2Q00,YIL,2002,Line-side Transm,F9921AH,,AMP ASSY,,0,,8,ST,,"6,509.57"
2Q00,YIL,2002,Line-side Transm,F9921AE,,PROFIBUS AMP,,0,,7,ST,,"6,943.56"
2Q00,YIL,2002,Line-side Transm,F9920VP,,LPT ASSY,,0,,19,ST,,738.49
2Q00,YIL,2002,Line-side Transm,F9920TT,,TERMINAL ASSY,,0,,246,ST,,658.69
2Q00,YIL,2002,Line-side Transm,F9920TP,,TERMINAL ASSY,,0,,189,ST,,641.6
2Q00,YIL,2002,Line-side Transm,F9920LV,,LCD ASSY,,0,,320,ST,,"1,301.92"
2Q00,YIL,2002,Line-side Transm,F9920LU,,LCD ASSY,,0,,162,ST,,"1,301.92"
2Q00,YIL,2002,Line-side Transm,F9920BQ,,AMP ASSY,,0,,265,ST,,"2,169.87"
2Q00,YIL,2002,Line-side Transm,F9920BN,,AMP ASSY,,0,,132,ST,,"2,169.87"
2Q00,YIL,2002,Line-side Transm,F9913VJ,,COVER,,0,,1,ST,,490.97
2Q00,YIL,2002,Line-side Transm,F9913VF,,COVER,,0,,4,ST,,539.82
2Q00,YIL,2002,Line-side Transm,F9913VA,,TERMINAL COVER,,0,,25,ST,,490.97
2Q00,YIL,2002,Line-side Transm,F9913TS,,METER COVER,,0,,501,ST,,324.87
2Q00,YIL,2002,Line-side Transm,F9913TJ,,COVER,,0,,25,ST,,333.83
2Q00,YIL,2002,Line-side Transm,F9913TA,,COVER,,0,,128,ST,,303.7
2Q00,YIL,2002,Line-side Transm,F9913SE,,METER COVER,,0,,3,ST,,884.23
2Q00,YIL,2002,Line-side Transm,F9913SA,,TERMINAL COVER,,0,,31,ST,,868.76
2Q00,YIL,2002,Line-side Transm,F9913MZ,,PLUG,,0,,76,ST,,232.86
2Q00,YIL,2002,Line-side Transm,F9913MY,,PLUG,,0,,110,ST,,98.53
2Q00,YIL,2002,Line-side Transm,F9913MD,,CLAMP ASSY,,0,,85,ST,,30.12
2Q00,YIL,2002,Line-side Transm,F9913MC,,SCREW,,0,,86,ST,,4.89
2Q00,YIL,2002,Line-side Transm,F9913MB,,BOLT,,0,,129,ST,,13.02
2Q00,YIL,2002,Line-side Transm,F9341JE,,RING,,0,,600,ST,,34.19
2Q00,YIL,2002,Line-side Transm,F9341JD,,SPRING,,0,,600,ST,,33.38
2Q00,YIL,2002,Line-side Transm,F9341JA,,GLASS,,0,,600,ST,,129.46
2Q00,YIL,2002,Line-side Transm,F9340XZ,,CONNECTOR,,0,,21,ST,,716.5
2Q00,YIL,2002,Line-side Transm,F9340XX,,CONNECTOR,,0,,249,ST,,490.97
2Q00,YIL,2002,Line-side Transm,F9340XW,,CONNECTOR,,0,,5,ST,,638.34
2Q00,YIL,2002,Line-side Transm,F9340XU,,CONNECTOR(KIDNEY),,0,,3,ST,,638.34
2Q00,YIL,2002,Line-side Transm,F9340WX,,CONNECTOR,,0,,24,ST,,"3,184.37"
2Q00,YIL,2002,Line-side Transm,F9340TX,,CONNECTOR,,0,,11,ST,,"3,336.62"
2Q00,YIL,2002,Line-side Transm,F9340SD,,VENT PLUG,,0,,19,ST,,141.67
2Q00,YIL,2002,Line-side Transm,F9340SB,,VENT PLUG,,0,,329,ST,,149.81
2Q00,YIL,2002,Line-side Transm,F9340NJ,,LABEL,,0,,59,ST,,6.51
2Q00,YIL,2002,Line-side Transm,F9340ND,,LABEL,,0,,73,ST,,7.33
2Q00,YIL,2002,Line-side Transm,F9340GN,,O-RING,,0,,1,ST,,43.15
2Q00,YIL,2002,Line-side Transm,F9340EM,,BRACKET,,0,,13,ST,,494.23
2Q00,YIL,2002,Line-side Transm,F9340AZ,,BOLT (SUH660),,0,,22,ST,,518.65
2Q00,YIL,2002,Line-side Transm,F9311BG,,VENT PLUG,,0,,2,ST,,"1,769.27"
2Q00,YIL,2002,Line-side Transm,F9300TE,,BRACKET,,0,,197,ST,,403.04
2Q00,YIL,2002,Line-side Transm,F9300AF,,PLATE,,0,,"2,192",ST,,0.81
2Q00,YIL,2002,Line-side Transm,F9299ZZ,,SILICONE RUBBER 100G,,0,,12,ST,,"1,459.05"
2Q00,YIL,2002,Line-side Transm,A1462CC,,FEEDTHRU CAPACITOR(FTA5C2HD102PJZZ),,0,,"1,153",ST,,47.22
2Q00,YIL,2002,Line-side Transm,C2001EC-11,,SOLDER,,0,,3,KG,,"10,070.11"
2Q00,YIL,2002,Line-side Transm,C2047DE-11,,TAPES,,0,,3,M,,"2,296.07"
2Q00,YIL,2002,Line-side Transm,D0114PB,,VENT SCREW,,0,,483,ST,,54.55
2Q00,YIL,2002,Line-side Transm,D0114RB,,GASKET,,0,,337,ST,,12.21
2Q00,YIL,2002,Line-side Transm,D0114RZ,,PLUG,,0,,518,ST,,90.38
2Q00,YIL,2002,Line-side Transm,D0117XL-A,,U-BOLT ASSY,,0,,273,ST,,61.88
2Q00,YIL,2002,Line-side Transm,F9202SJ,,SILICON GREASE(1KG),,0,,1,L,,"5,946.15"
2Q00,YIL,2002,Line-side Transm,F9203ZA,,PLUG,,0,,91,ST,,1.63
2Q00,YIL,2002,Line-side Transm,F9270BJ,,SHAFT,,0,,830,ST,,26.87
2Q00,YIL,2002,Line-side Transm,F9270BK,,COLLAR,,0,,325,ST,,4.89
2Q00,YIL,2002,Line-side Transm,F9275ZZ,,LABEL,,0,,87,ST,,8.14
2Q00,YIL,2002,Line-side Transm,F9275EG,,NEEDLE,,0,,49,ST,,150.63
2Q00,YIL,2002,Line-side Transm,F9275EF,,NUT,,0,,53,ST,,297.18
2Q00,YIL,2002,Line-side Transm,F9275ED,,VENT PLUG,,0,,56,ST,,323.25
2Q00,YIL,2002,Line-side Transm,F9273CZ,,BOLT,,0,,623,ST,,19.54
2Q00,YIL,2002,Line-side Transm,F9270HE,,VENT SCREW,,0,,29,ST,,70.84
2Q00,YIL,2002,Line-side Transm,F9341JP,,O-RING,,0,,359,ST,,8.14
2Q00,YIL,2002,Line-side Transm,F9900GD,,PLATE,,0,,15,ST,,15.47
2Q00,YIL,2002,Line-side Transm,F9900GE,,PLATE,,0,,526,ST,,10.58
2Q00,YIL,2002,Line-side Transm,F9900GG,,RING,,0,,31,ST,,8.14
2Q00,YIL,2002,Line-side Transm,F9900GH,,O-RING,,0,,477,ST,,4.07
2Q00,YIL,2002,Line-side Transm,F9900GK,,PLUG,,0,,1,ST,,358.25
2Q00,YIL,2002,Line-side Transm,F9900GP,,PLUG,,0,,107,ST,,271.95
2Q00,YIL,2002,Line-side Transm,F9900GR,,O-RING,,0,,39,ST,,87.93
2Q00,YIL,2002,Line-side Transm,F9900GS,,O-RING,,0,,38,ST,,100.15
2Q00,YIL,2002,Line-side Transm,F9900GT,,O-RING,,0,,46,ST,,61.88
2Q00,YIL,2002,Line-side Transm,F9900GV,,O-RING,,0,,88,ST,,9.77
2Q00,YIL,2002,Line-side Transm,F9900GW,,O-RING,,0,,30,ST,,19.54
2Q00,YIL,2002,Line-side Transm,F9900GX,,PLUG,,0,,40,ST,,361.51
2Q00,YIL,2002,Line-side Transm,F9900GC,,SCREW (FOR CASE),,0,,"1,071",ST,,1.63
2Q00,YIL,2002,Line-side Transm,F9900GB,,O-RING,,0,,20,ST,,5.7
2Q00,YIL,2002,Line-side Transm,F9900EF,,GASKET,,0,,2,ST,,699.4
2Q00,YIL,2002,Line-side Transm,F9900EA,,GASKET,,0,,521,ST,,28.49
2Q00,YIL,2002,Line-side Transm,F9900BE,,NUT,,0,,12,ST,,403.85
2Q00,YIL,2002,Line-side Transm,F9900BC,,NUT,,0,,886,ST,,17.09
2Q00,YIL,2002,Line-side Transm,F9900BA,,NUT (FOR COVER FLANGE),,0,,360,ST,,23.61
