SAP Linkage No,yhq Sales Order No,yhq Sales Order Item No,Item Entry Date,Order Type,Model,Qty,QIC Delivery Style,"Contractor
Corporate
ID",P/O  No.,"Customer's
P/O No.","Delivery
Customer
Id","End user
Country
Code","Estimated
FOB","yhq
Sales
Date
(On or about
Ship date)",Remarks,Ship Point,MS Code,Production Center,"Ship Point 
(ship from 
factory)",Order No,Item No,"Start
Manufacturing
Date","Instructed
Complete
Date","Complete
Date",Actual Date,"Current
Status"
1.00645E+15,2007555595,60,28-07-2021,Y101,K9218SE,1,,L2Q00,4509260831,4509260831,C2Q00012,IN,15-09-2021,,,1072,K9218SE,,,,,,,,,
1.00645E+15,2007561144,30,28-07-2021,Y101,K9218SE,1,,L2Q00,4509267834,4509267834,C2Q00012,IN,15-09-2021,,,1072,K9218SE,,,,,,,,,
1.00646E+15,2007561144,40,28-07-2021,Y101,K9358SD,2,,L2Q00,4509267834,4509267834,C2Q00012,IN,17-08-2021,,,1022,K9358SD,,,,,,,,,
1.00687E+15,2008012917,10,20-01-2022,Y101,NTLC003,1,,L2Q00,4509823280,4509823280,C2Q00012,IN,03-02-2022,,,1092,NTLC003-P11-P0074,,,,,,03-02-2022,,,
1.00692E+15,2008059236,70,09-02-2022,Y101,CO1000,1,,L2Q00,4509880157,4509880157,C2Q00012,IN,06-03-2023,28-02-2023,,1092,CO1000,,,,,,09-02-2022,,28-02-2023,
1.00716E+15,2008282294,70,20-05-2022,Y101,AAB141,3,,L2Q00,4510144242,4510144242,C2Q00012,IN,04-02-2023,19-01-2023,,1009,AAB141-H50/K4A00,YAS,3U12,2008282296,70,02-09-2022,25-01-2023,14-01-2023,19-01-2023,Ship Out
1.00717E+15,2008290110,110,13-09-2022,Y101,FLXA202,2,A,L2Q00,4510153224,4510153224,C2Q00012,IN,01-05-2023,,,1009,FLXA202-D-B-D-CB-D1-NN-A-N-LA-N-NN/U,YAS,3U12,2008531826,10,04-04-2023,19-04-2023,,,
1.00717E+15,2008290110,120,13-09-2022,Y101,FLXA202,2,A,L2Q00,4510153224,4510153224,C2Q00012,IN,01-05-2023,,,1009,FLXA202-D-B-D-CB-P1-NN-A-N-LA-N-NN/U,YAS,3U12,2008531826,20,,19-04-2023,,,
1.00717E+15,2008300546,10,27-05-2022,Y101,YTA610,1,A,L2Q00,4510165349,4510165349,C2Q00012,IN,01-02-2023,06-02-2023,,1009,YTA610-JA1C2DN/KU2,YCS,5F12,2008300580,10,09-01-2023,24-01-2023,19-01-2023,06-02-2023,Ship Out
1.00717E+15,2008290110,140,13-09-2022,Y101,K9358QN,1,,L2Q00,4510153224,4510153224,C2Q00012,IN,07-11-2023,,,1022,K9358QN,YMG,5828,2008531878,20,24-01-2023,27-10-2023,,,
1.00718E+15,2008307537,10,31-05-2022,Y101,FLXA402,4,A,L2Q00,4510173640,4510173640,C2Q00012,IN,31-01-2023,19-01-2023,,1009,FLXA402-A-B-AB-P1-NN-A2-WR-N-N-N-NN,YAS,3U12,2008307571,10,15-12-2022,18-01-2023,12-01-2023,19-01-2023,Ship Out
1.00718E+15,2008307537,80,31-05-2022,Y101,FLXA402,2,A,L2Q00,4510173640,4510173640,C2Q00012,IN,31-01-2023,19-01-2023,,1009,FLXA402-A-B-AB-P1-NN-A2-NR-N-N-N-NN,YAS,3U12,2008307571,20,15-12-2022,18-01-2023,05-01-2023,19-01-2023,Ship Out
1.00724E+15,2008359409,30,22-06-2022,Y101,AAB842,2,,L2Q00,4510236615,4510236615,C2Q00012,IN,12-02-2023,10-02-2023,,1009,AAB842-H50,YAS,3U12,2008359298,30,03-01-2023,02-02-2023,01-02-2023,10-02-2023,Ship Out
1.00724E+15,2008359409,50,22-06-2022,Y101,AAB141,7,,L2Q00,4510236615,4510236615,C2Q00012,IN,12-02-2023,10-02-2023,,1009,AAB141-H50/K4A00,YAS,3U12,2008359298,50,03-01-2023,02-02-2023,02-02-2023,10-02-2023,Ship Out
1.00724E+15,2008359409,80,22-06-2022,Y101,AAB842,2,,L2Q00,4510236615,4510236615,C2Q00012,IN,12-02-2023,10-02-2023,,1009,AAB842-H50,YAS,3U12,2008359298,80,03-01-2023,02-02-2023,02-02-2023,10-02-2023,Ship Out
1.0073E+15,2008399458,10,11-07-2022,Y101,TDLS8100,2,A,L2Q00,4510283730,4510283730,C2Q00012,IN,06-12-2022,,,1072,TDLS8100-E1-L-X1-NN-ZZZ-S-ZZ-A1-J-N/RX/SIL/Z,,,,,,28-11-2022,,18-04-2023,
