SAP Linkage No,YHQ Sales Order No,Sales Order Item No,Item Entry Date,Order Type,P/O  No.,Qty,QIC Delivery Style,"Contractor
Corporate
ID","Estimated
FOB","Delivery
Customer
Id","End user
Country
Code","YHQ
Sales
Date
(On or about
Ship date)",Remarks,Ship Point,MS Code,Production Center,"Ship Point 
(ship from 
factory)",Order No,Item No,"Start
Manufacturing
Date","Instructed
Complete
Date","Complete
Date",Actual Date,"Current
Status"
1.01E+15,2008696645,20,29-11-2022,Y101,4510642250,945,,L2Q00,21-03-2023,C2Q00004,IN,29-03-2023,,1009,F9900TB,YCS,5F12,2008696682,20,30-11-2022,13-03-2023,22-03-2023,29-03-2023,Ship Out
1.01E+15,2008693798,10,28-11-2022,Y101,4510638342,23,,L2Q00,15-08-2023,C2Q00004,IN,,,1022,F9913JX,YMG,5826,2008693769,10,29-11-2022,28-07-2023,,,
1.01E+15,2008693798,20,28-11-2022,Y101,4510638342,23,,L2Q00,15-08-2023,C2Q00004,IN,,,1022,F9913VF,YMG,5826,2008693768,10,29-11-2022,28-07-2023,,,
1.01E+15,2008695086,90,29-11-2022,Y101,4510639759,2016,,L2Q00,21-03-2023,C2Q00004,IN,,,1009,F9900TB,YCS,5F12,2008695126,10,09-12-2022,13-03-2023,,,
1.01E+15,2008695086,120,29-11-2022,Y101,4510639759,36,,L2Q00,10-03-2023,C2Q00004,IN,08-03-2023,,1022,F9921AH,YMG,5826,2008695113,70,30-11-2022,10-03-2023,01-03-2023,01-03-2023,Ship Out
1.01E+15,2008695086,140,29-11-2022,Y101,4510639759,36,,L2Q00,10-03-2023,C2Q00004,IN,08-03-2023,,1022,F9921AH,YMG,5826,2008695113,90,30-11-2022,10-03-2023,01-03-2023,01-03-2023,Ship Out
1.01E+15,2008695086,150,29-11-2022,Y101,4510639759,36,,L2Q00,10-03-2023,C2Q00004,IN,08-03-2023,,1022,F9921AH,YMG,5826,2008695113,100,30-11-2022,10-03-2023,01-03-2023,01-03-2023,Ship Out
1.01E+15,2008711785,80,06-12-2022,Y101,4510661948,64,,L2Q00,13-03-2023,C2Q00004,IN,08-03-2023,,1022,F9913QJ,YMG,5826,2008711688,10,07-12-2022,03-03-2023,01-03-2023,01-03-2023,Ship Out
1.01E+15,2008711785,90,06-12-2022,Y101,4510661948,1,,L2Q00,24-03-2023,C2Q00004,IN,15-03-2023,,1022,C2051FD-21,YMG,5826,2008711686,80,07-12-2022,15-03-2023,06-03-2023,08-03-2023,Ship Out
1.01E+15,2008711785,100,06-12-2022,Y101,4510661948,36,,L2Q00,10-03-2023,C2Q00004,IN,08-03-2023,,1022,F9921AH,YMG,5826,2008711686,90,07-12-2022,10-03-2023,01-03-2023,01-03-2023,Ship Out
1.01E+15,2008711785,110,06-12-2022,Y101,4510661948,36,,L2Q00,10-03-2023,C2Q00004,IN,08-03-2023,,1022,F9921AH,YMG,5826,2008711686,100,07-12-2022,10-03-2023,01-03-2023,01-03-2023,Ship Out
1.01E+15,2008711785,130,06-12-2022,Y101,4510661948,5000,,L2Q00,10-03-2023,C2Q00004,IN,08-03-2023,,1022,F9342MK,YMG,5826,2008711687,10,06-12-2022,09-03-2023,24-02-2023,01-03-2023,Ship Out
1.01E+15,2008714664,110,07-12-2022,Y101,4510665778,72,,L2Q00,10-03-2023,C2Q00004,IN,08-03-2023,,1022,F9921AH,YMG,5826,2008714796,80,08-12-2022,10-03-2023,01-03-2023,01-03-2023,Ship Out
1.01E+15,2008714664,130,07-12-2022,Y101,4510665778,30,,L2Q00,19-01-2023,C2Q00004,IN,08-03-2023,,1022,F9913CA,YMG,5826,2008714796,100,08-12-2022,11-01-2023,05-01-2023,05-01-2023,Ship Out
1.01E+15,2008716879,30,08-12-2022,Y101,4510668496,200,,L2Q00,18-01-2023,C2Q00004,IN,08-03-2023,,1022,F9300TE,YMG,5826,2008717048,20,08-12-2022,10-01-2023,29-12-2022,05-01-2023,Ship Out
1.01E+15,2008732507,60,15-12-2022,Y101,4510676198,1120,,L2Q00,13-03-2023,C2Q00004,IN,08-03-2023,,1022,F9910LS,YMG,5826,2008732578,30,16-12-2022,20-03-2023,01-03-2023,02-03-2023,Ship Out
1.01E+15,2008731678,10,15-12-2022,Y101,4510687189,72,,L2Q00,05-04-2023,C2Q00004,IN,31-03-2023,,1022,F9921AH,YMG,5826,2008731917,10,16-12-2022,28-03-2023,27-03-2023,28-03-2023,Ship Out
1.01E+15,2008731678,20,15-12-2022,Y101,4510687189,1000,,L2Q00,18-01-2023,C2Q00004,IN,08-03-2023,,1022,D0114RB,YMG,5826,2008731918,10,15-12-2022,10-01-2023,29-12-2022,05-01-2023,Ship Out
1.01E+15,2008731678,80,15-12-2022,Y101,4510687189,72,,L2Q00,13-04-2023,C2Q00004,IN,07-04-2023,,1022,F9921AH,YMG,5826,2008731917,60,16-12-2022,25-04-2023,28-03-2023,03-04-2023,Ship Out
1.01E+15,2008731678,150,15-12-2022,Y101,4510687189,1000,,L2Q00,18-01-2023,C2Q00004,IN,08-03-2023,,1022,F9341JS,YMG,5826,2008731873,20,19-12-2022,10-01-2023,29-12-2022,05-01-2023,Ship Out
1.01E+15,2008753571,20,24-12-2022,Y101,4510711925,1120,,L2Q00,15-03-2023,C2Q00004,IN,10-03-2023,,1022,F9910LS,YMG,5826,2008753601,10,26-12-2022,07-03-2023,06-03-2023,06-03-2023,Ship Out
1.01E+15,2008753571,60,24-12-2022,Y101,4510711925,1000,,L2Q00,16-03-2023,C2Q00004,IN,10-03-2023,,1022,F9341JZ,YMG,5826,2008753600,20,26-12-2022,22-03-2023,02-03-2023,06-03-2023,Ship Out
1.01E+15,2008753562,80,24-12-2022,Y101,4510711924,1600,,L2Q00,24-02-2023,C2Q00004,IN,,,1022,F9903CZ,,,,,,,,,
1.01E+15,2008753562,100,24-12-2022,Y101,4510711924,1600,,L2Q00,24-02-2023,C2Q00004,IN,,,1022,F9903BD,,,,,,,,,
1.01E+15,2008753562,290,24-12-2022,Y101,4510711924,10800,,L2Q00,10-04-2023,C2Q00004,IN,29-03-2023,,1022,F9342YB,YMG,5826,2008753583,50,26-12-2022,29-03-2023,20-03-2023,22-03-2023,Ship Out
